iter	Ve_TotCTCOHmol(1)	Ve_TotLivTCOHmol(1)	Ve_TotBrnTCOHmol(1)	Ve_CPlasTCAmol(1)	Ve_CLivTCAmol(1)	Ve_CKidTCAmol(1)	Ve_CBrnTCAmol(1)	Ve_CDCVGmol(1)	Ve_CLivDCVGmol(1)	Ve_CKidDCVGmol(1)	Ve_CBrnDCVGmol(1)	Ve_CDCVCmol(1)	Ve_CKidDCVCmol(1)	Ve_CBrnDCVCmol(1)	Ve_CNDCVCmol(1)	Ve_CLivNDCVCmol(1)	Ve_CKidNDCVCmol(1)	Ve_CBrnNDCVCmol(1)	M_lnkDCVCC(1)	M_lnkElimNDCVCC(1)	M_lnISkNDCVC(1)	V_lnkDCVCC(1)	V_lnkElimNDCVCC(1)	V_lnISkNDCVC(1)	lnkDCVCC(1.1)	lnkElimNDCVCC(1.1)	lnISkNDCVC(1.1)	lnkDCVCC(1.2)	lnkElimNDCVCC(1.2)	lnISkNDCVC(1.2)	lnkDCVCC(1.3)	lnkElimNDCVCC(1.3)	lnISkNDCVC(1.3)	lnkDCVCC(1.4)	lnkElimNDCVCC(1.4)	lnISkNDCVC(1.4)	LnPrior	LnData	LnPosterior
0	0.626303	0.37377	0.300499	0.0338323	0.123415	0.0197678	0.0133171	0.184654	0.553743	0.82039	3.01415	0.409245	0.0613938	0.140882	0.815578	2.27105	3.14768	0.0122905	0.780111	0.896563	-0.881494	0.10022	0.104607	2.08917	0.483297	0.7334	-1.3458	1.06115	0.935322	-1.75758	1.13757	0.804044	-1.66086	0.92138	0.558763	0.306363	-5.976160e+00	-1.760093e+05	-1.760153e+05
100	1.53826	2.45418	2.00237	2.10495	1.39533	3.27177	3.06887	0.910165	1.1968	0.817981	0.730275	0.580616	0.777086	0.664174	0.662263	0.544391	0.936412	0.512535	-2.24416	1.38269	-0.0264354	0.0650699	0.111189	1.06287	-2.10257	1.37849	0.832726	-2.17435	1.38441	0.282165	-2.4367	1.2743	0.773676	-1.76465	0.928897	0.695031	-3.351792e+01	-3.635086e+02	-3.970265e+02
200	0.77954	0.891254	0.66322	1.98203	1.51599	2.9362	2.90978	1.01753	1.08194	0.664576	0.606243	0.502563	0.96491	0.770013	0.440998	0.541895	0.692664	0.483583	-1.97851	2.11562	-0.493182	0.183385	0.105805	1.18121	-2.28087	2.16726	-0.255548	-1.81321	2.30306	-0.90826	-1.96139	2.64633	0.321985	-1.72315	1.4768	-2.20617	-3.335438e+01	-3.542577e+02	-3.876120e+02
300	0.569715	1.93085	0.368319	2.92215	2.50998	2.52049	3.29743	1.07997	1.14036	0.607861	0.839135	0.695363	0.771652	0.710276	0.385453	0.454195	0.859229	0.442754	-1.70746	4.28928	-1.92136	0.819796	0.0748035	1.23475	-2.71996	3.9873	-1.86853	-2.04208	4.25554	-2.61909	-2.70577	4.09776	-2.18996	-1.7817	4.47108	-3.76573	-3.813749e+01	-3.611203e+02	-3.992578e+02
400	0.734679	1.124	0.978541	2.88461	1.33895	2.96338	2.69007	0.979718	1.01365	0.66207	0.814157	0.572233	0.9038	0.558597	0.390165	0.393827	0.876014	0.257773	-1.77584	3.89921	-2.42896	0.0912421	0.0498557	4.36918	-2.00035	4.01969	-1.74698	-1.61776	4.13032	-2.04338	-2.08215	4.03361	-1.37415	-2.14548	4.03876	-4.19315	-3.146925e+01	-3.560513e+02	-3.875206e+02
500	0.874803	0.455962	0.757468	1.91966	1.16018	2.12326	3.17257	1.01648	0.945567	0.655505	0.704056	0.582432	0.907607	0.796498	0.590225	0.497678	0.910808	0.568026	-2.47518	3.64119	-2.39831	0.0583546	0.159437	0.894416	-2.32536	3.55438	-1.78336	-1.8849	3.61242	-1.69577	-2.33298	3.64964	-2.78169	-2.19946	3.89617	-2.8432	-3.113370e+01	-3.595157e+02	-3.906494e+02
600	0.502219	1.33784	1.21555	2.62471	0.931871	2.46632	3.10364	1.03135	1.14057	0.627031	0.852464	0.504815	0.8131	0.562312	0.546202	0.491282	0.727363	0.720993	-2.06663	3.31653	-3.91394	0.0630054	0.0963785	6.14174	-2.27661	3.12832	-1.25765	-1.71114	3.5084	-1.59314	-2.18225	3.45407	-0.350499	-1.81301	2.68984	-3.60246	-3.571862e+01	-3.554328e+02	-3.911514e+02
700	0.772899	1.24089	1.58786	1.25692	0.861545	3.2553	3.06159	1.1844	1.09235	0.636915	0.692118	0.623417	0.868966	0.61593	0.428464	0.549688	0.742714	0.577742	-1.59451	3.55763	-1.20222	0.0681929	0.231589	0.940247	-2.04445	3.15518	-1.23768	-1.66482	2.87624	-1.10708	-1.43942	2.91415	0.410583	-1.50593	3.95614	-3.41404	-3.684862e+01	-3.566105e+02	-3.934592e+02
800	1.22945	0.606633	0.455722	1.77193	0.829141	3.04414	2.9907	0.914348	0.945921	0.578429	0.877863	0.550807	0.829103	0.618101	0.402707	0.461635	0.778677	0.418936	-2.57431	4.02485	-1.78436	0.215845	0.205277	1.48884	-2.38063	2.97188	-1.03862	-1.86055	4.50803	-2.36569	-2.27027	4.17612	-1.91422	-2.57033	3.56422	-3.4286	-3.533132e+01	-3.611940e+02	-3.965253e+02
900	0.835986	1.06473	1.9018	1.10975	1.65698	3.15148	3.07006	1.09677	1.05823	0.638351	0.691544	0.710759	0.760368	1.13117	0.272729	0.478671	0.998353	0.685803	-1.48022	4.19764	-1.63535	0.096704	0.130985	0.905723	-1.97026	4.36233	-2.04397	-1.41753	3.89457	-1.63398	-1.32762	4.06533	-1.00812	-0.953968	3.57025	-3.56646	-3.473444e+01	-3.615229e+02	-3.962574e+02
1000	0.56402	0.732755	0.63466	2.02627	1.60601	2.76413	3.21765	1.12272	1.16794	0.715311	0.8716	0.606062	0.809426	0.900925	0.279942	0.475223	0.790866	0.840926	-2.049	4.20128	-3.71116	0.035458	0.211293	2.29664	-2.22137	3.41382	-1.49597	-1.84358	4.00965	-3.01419	-1.75791	4.02234	-0.958116	-2.03267	3.85396	-3.64689	-3.511414e+01	-3.566198e+02	-3.917340e+02
1100	0.538738	2.84434	0.977927	2.48936	0.815853	2.67881	2.45031	1.0528	1.06386	0.751289	0.727264	0.518744	0.7607	0.676646	0.559474	0.353188	0.906215	0.499811	-1.96394	3.69925	-1.53618	0.106414	0.130424	1.83551	-2.12949	3.22494	-1.16316	-1.39429	3.53031	-1.37735	-2.27	3.64842	-0.7764	-1.83829	2.77564	-1.91605	-3.472688e+01	-3.571270e+02	-3.918539e+02
1200	1.20407	1.13727	0.982426	2.29616	2.13873	2.94382	3.12208	1.00434	1.02115	0.658071	0.842394	0.499755	0.914449	0.538145	0.335125	0.523414	0.922483	0.683532	-2.19652	2.67207	-1.81571	0.139242	0.120342	3.85439	-2.22655	2.80339	-0.873535	-1.81112	2.28414	-1.6587	-2.4826	2.52004	-1.78262	-1.75117	2.33756	-3.26867	-3.513767e+01	-3.615559e+02	-3.966936e+02
1300	1.10911	0.915544	0.985804	2.69368	0.865243	3.01635	3.12812	0.946264	1.24724	0.609377	0.813316	0.510036	0.731787	0.734759	0.382899	0.546185	1.0381	1.1081	-2.33877	2.67213	-2.32149	0.325561	0.207861	6.35839	-2.93644	2.53062	-1.84341	-1.83944	3.22375	-1.66689	-2.23861	3.23361	-0.54518	-1.55199	2.42807	-2.39832	-4.229655e+01	-3.606787e+02	-4.029752e+02
1400	0.794769	0.498205	0.739615	2.03957	1.17676	3.23932	3.07132	1.05031	1.22796	0.83891	0.593972	0.612522	0.877754	0.70118	0.425147	0.60519	0.910475	0.683489	-2.22816	2.7033	-1.32056	0.245147	0.518204	1.72305	-2.28319	2.98364	-0.83318	-2.02583	2.85099	-1.69744	-2.30346	4.16994	-1.45125	-2.31423	1.964	-0.350009	-3.924137e+01	-3.582246e+02	-3.974659e+02
1500	0.770883	1.1618	0.979313	2.64088	0.96053	3.11722	3.06816	1.09738	1.17423	0.628716	0.996906	0.585342	0.880307	0.575401	0.984672	0.614361	0.767652	0.672819	-2.05983	3.01842	-2.83641	0.367776	0.114323	3.85972	-3.0304	2.64362	-1.18728	-2.19201	3.33753	-2.13801	-3.45394	2.51035	-3.64608	-1.57872	3.37717	-1.47315	-4.331632e+01	-3.622688e+02	-4.055851e+02
1600	0.551747	1.35884	0.993876	1.95899	0.83371	2.48216	2.91002	1.20235	1.00766	0.696152	0.673609	0.685965	0.694442	1.18485	0.36138	0.407976	0.688312	0.458384	-2.13971	3.15141	-2.23953	0.11656	0.0931895	3.85842	-2.113	3.43612	-1.26148	-1.81484	3.00341	-1.00085	-2.05911	3.51555	-0.811231	-1.95941	 2.76	-1.95038	-3.204408e+01	-3.606634e+02	-3.927075e+02
1700	0.939719	1.64342	0.685084	1.16354	1.54465	3.02429	2.71644	0.990854	1.17233	0.676404	0.700172	0.648049	0.975202	0.83787	0.483954	0.552361	1.0904	0.627451	-2.09706	3.57727	-2.83258	0.0634701	0.30049	2.58573	-2.23003	3.25732	-1.08108	-1.72951	3.0908	-1.97886	-2.6199	3.79019	-2.79506	-1.88201	3.32707	-4.02389	-3.726197e+01	-3.632342e+02	-4.004962e+02
1800	0.429193	0.818245	0.70082	2.14473	0.895207	2.89343	3.01988	0.966881	1.1418	0.69494	0.612833	0.707885	0.899264	0.854995	0.413176	0.695148	0.84298	0.734519	-2.26313	2.65349	-3.49765	0.0564525	0.270886	7.74232	-2.04699	2.41585	-0.764569	-1.9383	2.37414	-3.25437	-2.73696	2.77501	-3.6177	-2.44417	2.10135	-4.19427	-3.831819e+01	-3.656454e+02	-4.039636e+02
1900	0.565094	0.605035	0.714453	1.41328	1.43627	2.26146	3.26498	1.05681	1.10358	0.692201	0.420024	0.576679	0.810138	0.811999	0.342334	0.611888	1.03829	0.417906	-2.05155	2.90175	-1.64002	0.271858	0.123683	2.39764	-2.27611	2.58445	-0.532526	-1.681	2.42769	-0.355836	-2.84369	2.91065	-1.27922	-1.8747	3.1587	-3.88594	-3.467530e+01	-3.586986e+02	-3.933739e+02
2000	0.723149	 0.79	0.700385	1.68491	0.831441	2.83739	3.02277	0.95442	0.97375	0.720382	0.798433	0.606366	0.758926	0.716802	0.456329	0.533982	0.754251	0.627181	-1.64655	1.96914	-1.57481	0.0967101	0.119006	2.50672	-2.27383	1.41344	-0.635776	-1.85114	1.48942	-0.324001	-1.48309	2.05565	0.960647	-1.61376	2.19867	-2.2571	-3.415205e+01	-3.585132e+02	-3.926652e+02
2100	0.579882	0.571781	0.832304	3.07759	1.23102	1.95502	2.81649	0.963262	1.05292	0.923841	0.585758	0.512525	0.742111	0.857583	0.363249	0.519425	0.930629	0.597766	-2.04219	2.48216	0.660494	0.661441	0.493872	3.02978	-2.08826	2.81696	-0.673129	-1.26102	1.15398	1.09574	-3.3117	1.21213	-0.697454	-2.03245	2.48925	0.0195253	-4.690961e+01	-3.599864e+02	-4.068960e+02
2200	0.583363	3.07685	1.96439	2.83468	0.605184	2.07112	2.53328	0.869292	1.06308	0.679912	0.660499	0.645404	0.981529	0.816943	0.444285	0.491097	0.642675	0.828007	-1.78437	1.81441	-0.615702	0.150474	0.239605	1.51073	-2.11552	2.00223	-0.389121	-1.53097	1.12939	0.249036	-2.12278	2.00089	1.18694	-1.8757	1.76152	-0.77087	-3.522021e+01	-3.670419e+02	-4.022621e+02
2300	0.654714	2.06518	1.19829	3.07826	0.540728	1.84404	2.86281	0.973521	0.986135	0.593971	0.866327	0.699175	0.882082	0.703865	0.447638	0.3275	0.619343	0.464759	-2.05973	2.01808	-0.793469	0.507175	0.102232	5.16298	-2.32854	1.76096	0.0269862	-1.05784	2.17489	-0.330218	-3.30201	1.72048	-1.70102	-1.59225	2.16816	-1.18029	-3.998863e+01	-3.646986e+02	-4.046872e+02
2400	1.57815	0.70027	0.793622	2.04122	1.07148	2.19121	3.23058	1.13266	1.19072	0.70681	0.618511	0.571642	0.8707	0.859139	0.307483	0.438707	0.850978	0.275694	-2.57482	2.46459	-3.23222	1.1415	0.110322	12.2676	-2.09628	2.68516	-0.450369	-1.3831	2.16017	0.157382	-2.72256	2.41283	0.0662788	-1.78225	2.14616	-4.44157	-4.577379e+01	-3.540671e+02	-3.998409e+02
2500	0.536177	0.718713	0.525474	1.96173	1.46646	2.83273	2.93693	1.07334	0.956834	0.686337	0.792823	0.701539	1.01008	0.824354	0.56198	0.411083	0.727493	0.68257	-1.7741	2.11394	0.549787	0.402095	0.19962	7.22792	-2.13487	2.84838	-1.38436	-1.33687	1.68469	-0.0222447	-1.7467	0.999044	2.43331	-1.35869	2.2403	-0.811614	-4.489260e+01	-3.590497e+02	-4.039423e+02
2600	0.889312	0.240516	0.516689	1.84564	1.30533	2.25062	2.91936	1.0582	1.0169	0.611459	0.630785	0.513711	0.767623	0.6746	0.454634	0.42674	1.06867	0.323199	-2.25861	1.90439	-1.37028	0.0612196	0.0885561	2.18391	-2.11794	2.57837	-0.298068	-2.25387	1.77202	-0.542926	-2.51611	2.26445	0.131179	-1.91856	2.00679	-2.16599	-2.999005e+01	-3.629631e+02	-3.929532e+02
