iter	M_lnPC_stom(1)	M_lnPC_jeju(1)	M_lnPC_colon(1)	M_lnFu_jeju(1)	M_lnV_central(1)	M_lnVmax_vitro(1)	M_lnKm_vitro(1)	M_lnKmet(1)	M_lnKc2p(1)	M_lnKp2c(1)	V_lnPC_stom(1)	V_lnPC_jeju(1)	V_lnPC_colon(1)	V_lnFu_jeju(1)	V_lnV_central(1)	V_lnVmax_vitro(1)	V_lnKm_vitro(1)	V_lnKmet(1)	V_lnKc2p(1)	V_lnKp2c(1)	Ve_lnC_central(1)	lnPC_stom(1.1)	lnPC_jeju(1.1)	lnPC_colon(1.1)	lnFu_jeju(1.1)	lnV_central(1.1)	lnVmax_vitro(1.1)	lnKm_vitro(1.1)	lnKmet(1.1)	lnKc2p(1.1)	lnKp2c(1.1)	lnPC_stom(1.1.1)	lnPC_jeju(1.1.1)	lnPC_colon(1.1.1)	lnFu_jeju(1.1.1)	lnV_central(1.1.1)	lnVmax_vitro(1.1.1)	lnKm_vitro(1.1.1)	lnKmet(1.1.1)	lnKc2p(1.1.1)	lnKp2c(1.1.1)	lnPC_stom(1.1.2)	lnPC_jeju(1.1.2)	lnPC_colon(1.1.2)	lnFu_jeju(1.1.2)	lnV_central(1.1.2)	lnVmax_vitro(1.1.2)	lnKm_vitro(1.1.2)	lnKmet(1.1.2)	lnKc2p(1.1.2)	lnKp2c(1.1.2)	lnPC_stom(1.1.3)	lnPC_jeju(1.1.3)	lnPC_colon(1.1.3)	lnFu_jeju(1.1.3)	lnV_central(1.1.3)	lnVmax_vitro(1.1.3)	lnKm_vitro(1.1.3)	lnKmet(1.1.3)	lnKc2p(1.1.3)	lnKp2c(1.1.3)	lnPC_stom(1.1.4)	lnPC_jeju(1.1.4)	lnPC_colon(1.1.4)	lnFu_jeju(1.1.4)	lnV_central(1.1.4)	lnVmax_vitro(1.1.4)	lnKm_vitro(1.1.4)	lnKmet(1.1.4)	lnKc2p(1.1.4)	lnKp2c(1.1.4)	lnPC_stom(1.1.5)	lnPC_jeju(1.1.5)	lnPC_colon(1.1.5)	lnFu_jeju(1.1.5)	lnV_central(1.1.5)	lnVmax_vitro(1.1.5)	lnKm_vitro(1.1.5)	lnKmet(1.1.5)	lnKc2p(1.1.5)	lnKp2c(1.1.5)	lnPC_stom(1.1.6)	lnPC_jeju(1.1.6)	lnPC_colon(1.1.6)	lnFu_jeju(1.1.6)	lnV_central(1.1.6)	lnVmax_vitro(1.1.6)	lnKm_vitro(1.1.6)	lnKmet(1.1.6)	lnKc2p(1.1.6)	lnKp2c(1.1.6)	lnPC_stom(1.1.7)	lnPC_jeju(1.1.7)	lnPC_colon(1.1.7)	lnFu_jeju(1.1.7)	lnV_central(1.1.7)	lnVmax_vitro(1.1.7)	lnKm_vitro(1.1.7)	lnKmet(1.1.7)	lnKc2p(1.1.7)	lnKp2c(1.1.7)	lnPC_stom(1.1.8)	lnPC_jeju(1.1.8)	lnPC_colon(1.1.8)	lnFu_jeju(1.1.8)	lnV_central(1.1.8)	lnVmax_vitro(1.1.8)	lnKm_vitro(1.1.8)	lnKmet(1.1.8)	lnKc2p(1.1.8)	lnKp2c(1.1.8)	lnPC_stom(1.1.9)	lnPC_jeju(1.1.9)	lnPC_colon(1.1.9)	lnFu_jeju(1.1.9)	lnV_central(1.1.9)	lnVmax_vitro(1.1.9)	lnKm_vitro(1.1.9)	lnKmet(1.1.9)	lnKc2p(1.1.9)	lnKp2c(1.1.9)	lnPC_stom(1.1.10)	lnPC_jeju(1.1.10)	lnPC_colon(1.1.10)	lnFu_jeju(1.1.10)	lnV_central(1.1.10)	lnVmax_vitro(1.1.10)	lnKm_vitro(1.1.10)	lnKmet(1.1.10)	lnKc2p(1.1.10)	lnKp2c(1.1.10)	lnPC_stom(1.1.11)	lnPC_jeju(1.1.11)	lnPC_colon(1.1.11)	lnFu_jeju(1.1.11)	lnV_central(1.1.11)	lnVmax_vitro(1.1.11)	lnKm_vitro(1.1.11)	lnKmet(1.1.11)	lnKc2p(1.1.11)	lnKp2c(1.1.11)	lnPC_stom(1.1.12)	lnPC_jeju(1.1.12)	lnPC_colon(1.1.12)	lnFu_jeju(1.1.12)	lnV_central(1.1.12)	lnVmax_vitro(1.1.12)	lnKm_vitro(1.1.12)	lnKmet(1.1.12)	lnKc2p(1.1.12)	lnKp2c(1.1.12)	LnPrior	LnData	LnPosterior
0	0.00367385	1.94642	-1.74085	-0.327715	1.16441	1.88231	6.66665	-0.237511	-1.23655	0.146564	1.09098	0.050262	0.293465	0.120234	0.198546	0.490899	0.16936	0.208113	0.124541	0.618477	0.0141702	-0.436971	1.71445	-2.20731	-0.622232	0.944753	2.08435	6.37995	-0.348236	-1.60202	-0.683091	0.774886	2.08092	-1.13306	-0.538973	1.76709	1.86923	5.99711	-0.265858	-1.74198	-0.728641	-0.542329	1.79311	-1.70599	-0.198737	1.0378	0.436645	6.11818	-0.882731	-2.03287	-0.516773	-1.7674	1.37598	-1.76967	-0.984599	1.42426	2.11292	6.43566	-1.09621	-1.71677	-1.552	-2.15229	1.66013	-1.14233	-1.09694	1.60601	2.06608	6.61896	-0.627025	-1.45822	0.125208	-0.297233	1.4417	-1.50284	-0.783904	0.775558	1.8618	5.83782	-0.361453	-1.96958	-1.31544	-0.48319	1.90199	-2.26437	-0.532556	0.538501	2.03157	6.14213	-0.304932	-2.01563	0.37942	0.0495091	2.00978	-2.25693	-0.106213	1.27549	1.83874	6.71044	-0.122412	-1.62205	-0.0956533	-0.807929	1.76688	-2.06177	-0.717999	0.492956	1.02397	6.401	-0.958216	-1.7167	0.0143775	0.00885041	1.74202	-2.07831	-1.03571	0.696363	1.57997	6.447	-0.417578	-1.6585	-1.47505	-0.144511	1.71165	-1.82795	-0.64687	0.221037	2.02173	5.87671	-0.257937	-1.90654	-0.851584	-0.533464	1.7739	-2.08801	-0.736866	1.15332	1.64787	6.17365	-0.275103	-1.63234	0.249017	0.0810782	1.60235	-2.22811	-0.339774	0.284063	1.65952	5.96281	0.19145	-1.68263	-1.59538	-6.669728e+01	-3.020024e+05	-3.020691e+05
100	2.00941	-1.11346	-1.5568	-1.16592	1.89157	0.156829	6.22557	-3.39408	0.722528	-0.144345	0.307989	0.265772	0.200549	0.418781	0.100411	0.219191	0.121318	0.0831836	0.0568878	0.07727	0.0614608	1.76604	-0.864358	-1.99842	-1.62195	2.16954	0.57321	6.25466	-3.59936	0.65695	0.301891	1.91579	-0.841273	-1.92654	-2.44769	2.07834	1.07451	6.66741	-3.77533	0.960227	0.328705	2.10605	-1.46685	-2.08017	-0.835107	2.088	0.146712	6.27996	-3.3901	0.366513	0.719183	1.05794	0.00294946	-2.18785	-1.10814	1.9409	0.285346	6.73639	-3.49199	0.923958	0.135812	1.79447	-0.280119	-1.68628	-2.22778	2.28222	0.720191	6.25807	-3.12993	0.722814	0.811389	1.17611	-0.617736	-2.20425	-1.82887	1.8291	0.232435	5.47342	-3.62257	0.693134	0.34897	1.97275	-0.689037	-2.29045	-2.58715	1.80567	1.85348	6.49495	-3.58994	0.769913	0.241269	1.86092	-1.09752	-1.38348	-1.66493	2.02432	0.777884	5.85173	-3.87856	0.568506	0.575222	1.2048	-1.21369	-1.46712	-0.85466	1.88684	0.511646	6.35608	-3.41963	0.484589	0.160985	0.913988	-0.330915	-2.05616	-1.48151	2.26465	0.777651	6.6471	-3.5673	0.805871	0.220753	1.75639	-1.07093	-2.12214	-1.37129	2.22772	0.508429	5.64326	-3.94937	0.597026	0.760562	1.28947	-1.10167	-1.9287	-1.51848	2.22371	1.48325	6.58614	-3.82514	0.670444	0.259126	1.46045	-0.223583	-2.05562	-2.257	1.82498	1.10912	6.59418	-3.61293	0.492917	0.149329	-3.711609e+01	-4.891990e+00	-4.200808e+01
200	1.28349	-1.36859	-0.717042	-1.78626	1.99724	0.59279	6.4928	-3.56527	0.913503	0.894087	0.11691	0.0657976	0.257507	0.260234	0.203613	0.0831402	0.423483	0.274519	0.0813528	0.387143	0.0443361	1.68976	-1.01687	-1.35393	-1.62466	2.27532	0.712191	6.38083	-3.54589	1.23284	0.662319	1.57301	-1.10063	-0.887019	-2.2187	1.85633	1.00033	6.17142	-3.37479	1.58066	1.29877	1.69593	-1.513	-1.32394	-1.7705	2.26746	0.641081	6.12098	-3.57024	1.3657	1.26459	1.95927	-0.503673	-1.77423	-1.33621	1.49709	0.448978	6.24067	-2.25815	1.22112	-0.156903	1.53114	-1.50094	-1.68604	-2.10631	2.04996	1.28309	5.63417	-3.71028	1.03502	 1.45	1.40376	-0.923732	-0.527233	-1.19178	2.05484	0.578363	6.31897	-3.90978	0.819665	1.00908	1.47476	-0.531917	-0.327273	-2.05991	1.70449	1.02164	6.17465	-3.60338	1.20029	0.425576	1.18885	-1.31714	-0.944663	-1.80648	2.10937	1.05374	5.74156	-3.5938	0.866829	0.974446	1.58231	-0.820953	-0.891061	-1.63191	1.92991	0.843086	6.57696	-3.2964	0.864397	0.549037	1.42823	-1.02416	-1.05948	-0.943813	2.02768	0.884722	6.4224	-3.38133	1.42455	1.06967	2.06783	-0.845331	-1.25328	-1.687	2.27861	0.988974	6.32695	-3.05966	1.40279	1.14038	1.72369	-1.13302	-0.608691	-1.26075	1.80802	0.326671	5.83378	-2.67012	1.40986	0.401436	2.01077	-1.33728	-1.96646	-1.79629	0.91556	0.981871	5.72349	-3.15443	1.26211	-0.235818	-5.545424e+01	2.339135e+01	-3.206289e+01
300	1.48335	-1.55379	-0.793614	-2.34114	1.07529	0.530551	5.84162	-3.11138	1.42791	1.66978	0.136839	0.170529	0.257226	0.0541435	0.51308	0.0885922	0.0910957	0.0681283	0.0945513	0.581817	0.0332301	1.33333	-1.23148	-1.15354	-2.24576	1.93089	1.04813	5.91317	-2.88286	1.70603	1.62482	2.28599	-1.24943	-1.22197	-2.22839	1.84819	0.438194	6.01153	-2.65074	1.60439	0.848559	2.17147	-1.50906	-1.44533	-2.10987	1.82625	0.808314	5.44379	-3.12059	2.06383	1.66484	0.729161	-0.832876	-0.871973	-2.08332	0.946995	1.28141	5.99353	-2.54966	2.03943	0.0186847	1.35924	-1.07445	-0.81295	-2.42016	2.17271	0.928882	5.64284	-2.98617	1.29841	1.79882	1.72391	-0.872155	-1.09416	-2.04391	1.80643	1.06612	5.94296	-2.68692	1.31744	0.900899	1.58343	-1.07306	-0.930208	-1.84365	1.30992	1.29351	6.30543	-2.50209	1.72472	0.354174	0.958476	-1.37586	-0.929101	-2.35834	2.23117	1.24721	6.00369	-2.70171	2.03799	1.84976	1.70798	-1.01231	-1.29194	-2.39945	2.00319	1.30271	6.08685	-3.00524	1.68562	1.40844	1.58323	-1.10543	-1.32263	-2.0506	1.97652	1.30191	5.78756	-2.65467	2.13681	1.45182	0.8983	-1.79246	-1.12841	-2.30404	2.21479	1.64309	5.54126	-3.01341	1.52455	2.06396	0.854468	-0.666936	-1.33975	-2.28581	1.73015	0.964519	6.0454	-2.4197	2.07459	0.904898	1.56155	-0.932764	-1.94373	-1.97253	0.714131	1.02933	6.26044	-2.54872	2.18676	0.124278	-4.915848e+01	4.151544e+01	-7.643044e+00
400	0.70241	-0.846829	-1.68257	-2.69838	2.12887	0.953376	5.51743	-3.09483	2.29934	1.91989	0.182175	0.177945	0.110246	0.0501836	0.284183	0.145318	0.272071	0.0915001	0.127182	1.25072	0.0186954	0.84138	-1.01608	-1.68229	-2.40063	1.86796	0.665093	5.65738	-3.16676	2.07424	1.57769	0.780583	-1.10232	-2.03879	-2.54867	1.44062	0.733863	5.63582	-3.1649	2.05029	0.633035	0.95656	-1.0651	-1.95921	-2.47858	2.12649	0.86973	5.88369	-3.33982	2.01806	1.50259	1.17542	-0.590228	-1.68916	-2.18121	0.818353	1.02715	5.86009	-2.77773	2.23589	0.186847	0.799658	-1.19159	-2.01073	-2.64596	2.27539	0.172518	4.89988	-2.79254	2.09028	2.26008	0.120127	-0.826491	-1.55889	-2.41482	1.34232	0.648599	5.17371	-3.00672	2.15937	0.965179	1.06946	-0.535606	-1.79534	-2.18674	0.85413	0.645558	5.66409	-3.43134	2.21252	0.373981	1.4512	-0.772995	-1.79213	-1.8584	2.00594	0.380945	5.61679	-3.75387	2.01394	1.78843	1.07509	-1.48286	-2.1344	-2.17052	1.82874	0.72126	5.22759	-3.25896	1.84771	1.74363	0.956948	-1.22975	-1.94905	-2.11642	1.82032	1.22635	5.74648	-2.51644	1.80463	0.964016	1.15935	-1.14698	-1.68817	-2.14157	2.25994	0.591752	5.21449	-2.76181	2.10144	2.04576	1.59083	-0.785436	-1.28503	-2.18618	1.66594	0.858338	5.65924	-3.2174	1.95573	0.895409	0.668947	-0.592449	-1.05506	-2.38154	0.827658	0.873204	5.79129	-3.02658	2.16393	0.143956	-4.535056e+01	4.708510e+01	1.734539e+00
500	1.77726	-1.50008	-1.78336	-1.63052	1.53902	0.202918	5.31808	-3.27052	1.6775	1.57904	0.153609	0.0834537	0.446865	0.11934	0.264233	0.107735	0.080591	0.150685	0.179058	0.322376	0.032856	2.00753	-0.914415	-1.75614	-2.05248	1.9373	0.569876	5.50206	-3.52475	1.982	1.04199	1.87199	-0.93674	-1.29334	-2.19587	1.6725	0.389526	5.56776	-3.74938	1.65285	0.577207	1.67692	-0.746104	-1.83704	-2.56265	2.05749	0.542652	5.53924	-3.87608	1.93462	1.35289	2.14085	-0.786784	-1.76329	-1.69856	0.919248	0.616472	5.66689	-3.06576	2.01761	0.294152	1.51176	-0.405212	-2.03015	-2.50532	2.07769	0.289956	5.43777	-3.39831	2.01484	2.01917	1.83804	-0.761154	-1.5521	-2.11576	1.5586	0.858726	5.62366	-3.52378	1.86469	0.994098	1.68013	-1.12492	-2.1764	-1.60897	0.90506	0.6746	5.66857	-3.78522	2.11755	0.616075	1.6364	-0.98458	-1.51709	-2.03234	2.16759	0.645887	5.58496	-3.67917	2.08184	2.01082	2.01706	-1.01963	-2.10011	-2.12062	1.71985	0.588431	5.43887	-3.67751	1.81143	1.56891	1.9248	-0.390276	-1.64636	-2.28256	2.14537	0.923816	5.74665	-2.88835	1.79431	1.32261	1.43573	-0.907434	-2.20325	-1.94661	2.29562	0.234199	5.24754	-3.86777	1.99763	1.96998	1.6386	-0.994903	-2.12286	-1.71072	1.35499	0.789831	5.85158	-2.64951	2.2938	0.807241	1.37821	-0.886221	-1.74657	-1.83505	0.677033	0.693058	5.81207	-3.4375	2.13629	0.11441	-3.670005e+01	4.527918e+01	8.579139e+00
600	1.59374	-1.3449	-1.22489	-2.39925	0.979339	0.491251	6.13013	-3.41185	2.02201	1.74291	0.124504	0.127959	0.155361	0.320829	0.339714	0.0334355	0.160715	0.118368	0.150054	0.317755	0.0186033	2.26049	-0.936537	-1.83547	-1.83573	1.4551	0.634795	5.95554	-3.47138	2.27287	1.33211	2.22902	-1.36442	-1.60954	-2.098	1.25769	0.812316	5.73778	-3.23216	1.6908	0.478517	1.88436	-0.806138	-1.51824	-2.11815	2.08677	0.513112	6.0308	-2.95151	2.21092	1.73517	1.61544	-0.469346	-1.19531	-1.49342	0.778892	0.611783	6.16637	-3.48294	2.14956	0.037081	2.17778	-1.16187	-2.27225	-2.38466	2.02373	0.682607	5.32441	-2.88856	1.90425	2.13527	1.68747	-0.724592	-2.04691	-1.67552	1.47079	0.762034	6.14354	-3.02975	2.00921	0.961374	1.80756	-0.651881	-1.74602	-1.64668	1.00871	0.816023	6.29476	-2.60458	2.27847	0.768157	1.59744	-0.603061	-1.47722	-2.32089	2.02553	0.470861	5.43516	-3.90446	2.08329	1.91942	2.03903	-0.317787	-1.55544	-2.15082	1.96464	0.548535	6.20074	-3.82523	2.10814	1.7821	2.1623	-1.44928	-1.85647	-1.23955	1.74891	0.666426	5.57457	-3.43406	2.14685	1.86636	2.10311	-1.46987	-1.60488	-2.17892	2.0913	0.842978	5.06179	-3.44228	2.03021	1.99087	1.84873	-1.32712	-1.18073	-1.09697	1.39785	0.54483	6.01237	-2.68659	2.14853	1.19851	2.13648	-0.488121	-1.93148	-1.54959	0.549242	0.732705	6.50324	-3.35737	2.29402	-0.142869	-4.972995e+01	5.540392e+01	5.673970e+00
700	1.272	-1.45191	-1.74112	-2.08398	1.85003	0.916303	5.93262	-2.86272	2.00678	-0.0108235	0.159969	0.237982	0.0951913	0.202382	0.765996	0.0510029	0.0913949	0.155925	0.148658	1.19288	0.0250569	1.46865	-1.36509	-1.92947	-1.65365	1.68561	0.777983	5.59473	-3.64096	1.95404	1.14436	0.866494	-1.09214	-1.58772	-2.21405	1.22094	0.645894	5.79191	-3.82368	1.94413	0.314429	1.46105	-1.45878	-2.01903	-1.65414	2.21054	0.356453	5.7995	-3.73774	2.07148	1.89542	1.88338	-0.538145	-1.56604	-1.39859	0.972949	0.33865	5.90194	-3.66398	2.05922	0.111023	1.6565	-1.43405	-1.70945	-2.04546	2.03628	0.589008	5.16808	-3.88339	1.30759	1.51544	1.66695	-0.712774	-1.86849	-1.74559	1.50458	0.647221	5.81567	-3.63311	1.99866	1.13129	1.80116	-0.634979	-1.83583	-1.87666	1.14715	0.498777	5.7662	-2.9959	2.0584	0.398611	1.53358	-1.31228	-2.10103	-1.49424	1.91018	0.911478	5.99608	-3.17164	2.16159	1.90436	1.708	-1.30491	-1.81778	-1.58492	2.01022	0.683435	5.83312	-3.83739	1.68017	2.2111	1.72725	-1.29222	-2.2398	-1.49294	1.6382	1.03895	5.71023	-3.02739	1.82628	1.12799	1.87952	-1.82017	-1.25288	-1.68753	1.99545	0.751787	4.92055	-3.9699	1.75155	2.29756	1.99278	-1.28675	-1.7813	-1.6571	1.11375	0.854139	5.69007	-3.43533	1.95465	0.660765	1.30361	-0.98183	-1.85133	-1.46217	0.41909	1.03417	6.31633	-3.80025	1.95277	-0.421565	-5.429621e+01	4.809466e+01	-6.201541e+00
800	2.20179	-1.53897	-1.96152	-1.48041	1.92172	0.958248	6.19653	-3.69392	2.12409	-0.550143	0.10674	0.244806	0.358747	0.128272	0.293528	0.0803672	0.315636	0.104361	0.245553	0.938437	0.0362466	1.81296	-1.38781	-1.74399	-1.51325	1.59406	0.718116	5.60982	-3.4472	2.17343	1.06389	1.72344	-0.628721	-1.65395	-1.91866	1.36673	0.110049	6.18378	-3.05799	2.19797	0.700286	1.86062	-1.86351	-1.48497	-1.64294	2.22122	0.501014	5.7411	-3.52783	1.50962	1.51227	1.87483	-0.499823	-0.990373	-1.62885	0.743278	0.551637	5.93273	-2.99353	2.04404	0.0606632	2.12718	-1.51863	-1.2347	-1.80202	2.25004	0.647482	5.40456	-3.55897	1.2471	2.20741	1.73468	-0.439991	-1.17463	-1.61195	1.57337	0.412494	6.01435	-2.93724	1.40495	0.414718	2.00479	-1.02162	-0.98107	-1.92658	1.45231	0.812754	5.68169	-3.64438	1.95949	1.25061	2.12549	-1.49981	-2.16209	-1.25278	1.68912	0.768525	5.84041	-3.48852	1.90852	1.47203	1.88769	-1.50381	-1.30408	-1.92389	1.88702	0.56471	5.17002	-3.66551	1.93077	2.18943	1.93141	-1.68378	-1.8819	-1.25803	1.61159	1.14811	5.76164	-3.22615	2.09918	1.96078	1.73301	-1.38339	-2.05696	-1.97908	2.18074	0.459724	5.041	-3.04304	1.6528	1.3291	1.91249	-1.12513	-2.00017	-1.96413	1.28785	0.659316	5.21468	-3.99041	2.15645	0.989293	2.24299	-0.978334	-2.26881	-1.65128	0.526596	1.029	6.24883	-3.38268	1.99767	-0.137589	-6.002805e+01	4.324502e+01	-1.678303e+01
900	1.83564	-1.22007	-0.124898	-1.68261	1.83977	0.777806	5.71758	-2.78228	1.90672	1.39272	0.170668	0.1875	0.0946625	0.0508724	0.250763	0.107705	0.108447	0.259263	0.0734521	0.689361	0.0219018	1.79981	-1.34813	-0.965875	-1.74872	1.69557	0.742673	5.75201	-2.67099	2.16787	0.652098	1.88958	-1.6419	-1.05235	-1.57869	1.18173	0.494239	5.87206	-3.26015	2.07391	0.598729	1.60418	-1.02643	-0.871131	-2.06301	1.84933	0.925463	6.13738	-3.45555	2.14531	1.56269	2.03642	-0.642361	-0.68077	-1.9886	0.627202	0.617708	5.60086	-2.09672	2.21186	0.00809833	1.52746	-1.6307	-0.996333	-2.16063	2.14192	0.748715	5.19833	-3.22179	1.55106	2.11779	1.45098	-0.63964	-0.919988	-1.8254	1.61289	0.754626	5.9626	-3.24794	1.96333	1.03814	1.98175	-0.901517	-0.850838	-1.95958	1.03019	0.815363	6.05414	-1.94501	2.28359	0.382274	1.85437	-1.82278	-0.892794	-1.68421	1.88309	1.22701	5.63964	-3.35445	1.69304	2.04021	1.97661	-1.77443	-0.659768	-1.87467	1.43912	1.08075	5.65954	-2.72072	2.28287	1.72328	2.08772	-1.40527	-1.53563	-1.47134	1.60659	0.821625	5.46949	-3.58866	2.08565	1.21527	1.98143	-1.27804	-1.13284	-1.95432	2.07818	0.812892	5.59625	-2.74381	2.2973	1.99068	1.88596	-1.1562	-0.73825	-1.68907	1.56083	0.718556	5.78575	-2.89898	1.60701	0.687402	1.78999	-1.22732	-0.707588	-1.34323	0.495695	0.782468	6.283	-2.92833	2.11782	0.150887	-4.768599e+01	4.542388e+01	-2.262110e+00
