iter	M_lnPC_duod(1)	M_lnFu_duod(1)	M_lnFu_colon(1)	M_lnV_central(1)	M_lnVmax_vitro(1)	M_lnKm_vitro(1)	M_lnKc2p(1)	V_lnPC_duod(1)	V_lnFu_duod(1)	V_lnFu_colon(1)	V_lnV_central(1)	V_lnVmax_vitro(1)	V_lnKm_vitro(1)	V_lnKc2p(1)	Ve_lnC_central(1)	lnPC_duod(1.1)	lnFu_duod(1.1)	lnFu_colon(1.1)	lnV_central(1.1)	lnVmax_vitro(1.1)	lnKm_vitro(1.1)	lnKc2p(1.1)	lnPC_duod(1.1.1)	lnFu_duod(1.1.1)	lnFu_colon(1.1.1)	lnV_central(1.1.1)	lnVmax_vitro(1.1.1)	lnKm_vitro(1.1.1)	lnKc2p(1.1.1)	lnPC_duod(1.1.2)	lnFu_duod(1.1.2)	lnFu_colon(1.1.2)	lnV_central(1.1.2)	lnVmax_vitro(1.1.2)	lnKm_vitro(1.1.2)	lnKc2p(1.1.2)	lnPC_duod(1.1.3)	lnFu_duod(1.1.3)	lnFu_colon(1.1.3)	lnV_central(1.1.3)	lnVmax_vitro(1.1.3)	lnKm_vitro(1.1.3)	lnKc2p(1.1.3)	lnPC_duod(1.1.4)	lnFu_duod(1.1.4)	lnFu_colon(1.1.4)	lnV_central(1.1.4)	lnVmax_vitro(1.1.4)	lnKm_vitro(1.1.4)	lnKc2p(1.1.4)	lnPC_duod(1.1.5)	lnFu_duod(1.1.5)	lnFu_colon(1.1.5)	lnV_central(1.1.5)	lnVmax_vitro(1.1.5)	lnKm_vitro(1.1.5)	lnKc2p(1.1.5)	lnPC_duod(1.1.6)	lnFu_duod(1.1.6)	lnFu_colon(1.1.6)	lnV_central(1.1.6)	lnVmax_vitro(1.1.6)	lnKm_vitro(1.1.6)	lnKc2p(1.1.6)	lnPC_duod(1.2)	lnFu_duod(1.2)	lnFu_colon(1.2)	lnV_central(1.2)	lnVmax_vitro(1.2)	lnKm_vitro(1.2)	lnKc2p(1.2)	lnPC_duod(1.2.1)	lnFu_duod(1.2.1)	lnFu_colon(1.2.1)	lnV_central(1.2.1)	lnVmax_vitro(1.2.1)	lnKm_vitro(1.2.1)	lnKc2p(1.2.1)	lnPC_duod(1.2.2)	lnFu_duod(1.2.2)	lnFu_colon(1.2.2)	lnV_central(1.2.2)	lnVmax_vitro(1.2.2)	lnKm_vitro(1.2.2)	lnKc2p(1.2.2)	lnPC_duod(1.2.3)	lnFu_duod(1.2.3)	lnFu_colon(1.2.3)	lnV_central(1.2.3)	lnVmax_vitro(1.2.3)	lnKm_vitro(1.2.3)	lnKc2p(1.2.3)	lnPC_duod(1.2.4)	lnFu_duod(1.2.4)	lnFu_colon(1.2.4)	lnV_central(1.2.4)	lnVmax_vitro(1.2.4)	lnKm_vitro(1.2.4)	lnKc2p(1.2.4)	lnPC_duod(1.2.5)	lnFu_duod(1.2.5)	lnFu_colon(1.2.5)	lnV_central(1.2.5)	lnVmax_vitro(1.2.5)	lnKm_vitro(1.2.5)	lnKc2p(1.2.5)	lnPC_duod(1.2.6)	lnFu_duod(1.2.6)	lnFu_colon(1.2.6)	lnV_central(1.2.6)	lnVmax_vitro(1.2.6)	lnKm_vitro(1.2.6)	lnKc2p(1.2.6)	LnPrior	LnData	LnPosterior
0	1.11786	-2.25423	-5.76757	-1.42196	-1.58267	6.56107	-0.681766	0.0563672	0.229885	0.203548	0.112048	0.392709	0.0843193	0.168295	0.0744157	1.21331	-2.75331	-6.67155	-1.47046	-2.2377	6.41764	-0.66632	1.31649	-3.68097	-5.87278	-1.11315	-1.99074	6.14873	-0.289968	1.37559	-3.38896	-6.6707	-1.96301	-2.12769	6.11421	-0.488554	1.17148	-1.87993	-5.83864	-0.932365	-1.68151	5.77729	-0.367139	1.06876	-2.97578	-6.28281	-1.36895	-2.08564	6.49387	-0.159499	1.14227	-3.16156	-6.71758	-1.32802	-1.67206	6.10096	-0.526467	1.02168	-2.55877	-6.64022	-1.57436	-1.88025	5.92627	-0.462888	1.19702	-2.47211	-6.28632	-1.83668	-2.1734	6.26443	-0.414601	1.59601	-3.08107	-6.85891	-1.62966	-1.65352	6.06949	0.194047	0.842865	-2.37836	-6.32288	-1.75995	-1.98934	6.23037	0.409923	1.27399	-2.62591	-6.11007	-1.92345	-1.96827	6.31759	-0.0274822	1.09679	-2.36091	-5.66351	-1.38302	-2.15458	6.01162	-0.451998	1.26543	-2.07765	-6.42125	-2.15194	-1.97281	6.19048	-0.156367	1.13838	-1.32318	-5.71705	-2.04569	-2.25841	5.90164	-0.232653	-1.932366e+01	-7.223605e+04	-7.225538e+04
100	0.773447	-3.01755	-6.25452	-0.192227	-0.705311	6.38785	-0.162714	0.37338	0.365368	0.116699	0.127393	0.342768	0.434023	0.0896715	0.499356	0.173891	-3.29635	-6.31981	-0.120308	-1.58446	5.42038	0.205529	0.798854	-3.52725	-6.6025	-0.292756	-1.38387	6.09759	-0.202565	0.155701	-2.21837	-5.9007	-0.685254	-1.38352	5.67638	0.484078	0.917721	-3.5649	-5.9412	-0.66318	-1.24204	5.38753	0.345292	0.344752	-3.59436	-6.33224	-0.192084	-1.18744	5.81231	0.351434	0.482842	-2.80816	-6.50912	-0.356027	-2.25189	6.39962	0.302339	0.827882	-3.84866	-5.78108	-0.0798451	-0.117143	6.12044	0.286176	1.51651	-1.5279	-5.88244	-0.940778	-1.09775	5.64212	-0.142058	1.20142	-0.889411	-6.01521	-0.959975	-1.4484	6.5059	0.147557	1.02706	-2.64288	-5.6338	-1.54917	-1.15047	5.58467	-0.370715	1.96917	-0.733525	-6.41058	-1.40575	-0.884892	6.54856	-0.0552781	0.794494	-1.16892	-6.09443	-0.723536	-1.4629	5.59194	-0.150659	1.7964	-1.69568	-5.74913	-1.85837	-1.59347	5.45553	-0.0328696	0.583035	-1.79257	-5.76703	-0.982861	-1.3357	6.23402	0.17302	-5.253413e+01	-1.084027e+04	-1.089280e+04
200	0.907582	-3.32789	-5.47725	-0.965035	-1.84812	6.09673	-0.567854	0.0940979	0.146539	0.145181	0.321936	0.174544	0.209555	0.167944	0.49998	0.437908	-3.40829	-4.5128	-0.108982	-1.42407	5.58565	-0.655246	1.02585	-3.38273	-4.16159	-0.0188526	-0.970692	5.69295	-0.518431	0.381322	-3.20893	-4.44199	-0.223924	-1.81616	5.74147	-0.438449	0.48457	-3.40132	-4.85112	-0.175978	-1.83453	6.1464	-0.17317	0.668393	-3.44829	-5.09912	-0.314268	-1.77088	5.91604	-0.640817	1.0418	-2.63501	-3.86521	-0.620046	-1.93271	5.47899	-0.301402	0.0448563	-3.53437	-4.60317	-0.686318	-1.92644	6.09964	-0.389176	0.940949	-3.30679	-5.45331	-1.7196	-2.15895	6.19471	-0.382712	0.969226	-3.09547	-5.68571	-1.69267	-2.14765	5.98363	-0.0413402	0.870907	-3.40624	-5.92283	-2.18278	-1.43723	6.58184	-0.326462	0.798727	-3.60339	-5.1371	-1.80769	-2.02867	6.52919	-0.1784	0.543978	-3.14812	-6.16832	-1.18935	-2.25414	6.6408	-0.373043	0.99211	-3.36221	-5.4219	-1.66616	-1.75416	6.35232	-0.0394892	0.672262	-2.75535	-5.76625	-2.04569	-1.65666	5.86881	-0.357746	-2.329628e+01	-1.082690e+04	-1.085019e+04
300	0.112718	-3.77322	-5.73259	-0.60638	-2.20429	6.34868	0.115459	0.52257	0.159481	0.220218	0.193974	0.12128	0.079297	1.13246	0.49999	0.510932	-3.74455	-6.52423	-0.669403	-2.2658	6.10393	-0.565771	1.1567	-3.54928	-6.50825	-0.283067	-2.10992	6.00334	0.404881	1.42183	-3.82419	-6.3558	-0.662523	-2.24276	6.03874	0.991195	0.854031	-3.85087	-6.53597	-1.52611	-2.21035	6.21941	0.254443	0.185773	-4.12767	-6.62122	-1.17961	-2.08567	6.24265	0.395481	0.117334	-3.4803	-6.27231	-1.33386	-1.87258	6.232	0.650718	1.49205	-3.52669	-6.11217	-0.738972	-2.00813	5.99516	0.758269	0.145927	-4.00079	-5.34347	-0.749452	-2.16116	5.99652	-0.273753	0.978516	-4.46315	-5.60057	-1.16997	-1.86113	5.82062	1.23829	1.18772	-4.19169	-5.62641	-1.06165	-1.71118	5.89128	-0.0133114	1.63911	-3.72335	-4.90912	-0.809502	-2.09912	5.98313	-0.0605848	0.412723	-4.74581	-5.30168	-1.39509	-1.93305	6.0355	-0.447537	1.09707	-4.27827	-5.5307	-0.524789	-1.77231	6.22139	0.905963	0.557404	-3.88248	-5.467	-1.18608	-1.76491	5.77972	0.176798	-3.436545e+01	-1.082668e+04	-1.086105e+04
400	1.27339	-4.78771	-5.85573	-1.30693	-1.697	5.919	0.380961	0.120185	0.115431	0.0648066	0.0930144	0.0326037	0.188174	0.265974	0.499999	0.904229	-4.63578	-5.75293	-1.46296	-1.78719	6.06818	0.210688	1.47264	-4.32041	-5.99179	-1.52985	-1.77695	5.50169	0.795535	0.692705	-4.48777	-5.73428	-1.70623	-1.77337	6.13358	0.902497	0.246806	-4.90069	-5.91734	-1.27707	-1.63262	5.83823	1.5398	0.915441	-4.64819	-5.62356	-1.68355	-1.75064	6.32806	0.182513	1.39519	-4.96151	-6.07742	-1.41632	-1.76496	5.79038	0.29247	1.35426	-4.91362	-5.28705	-1.30701	-1.53413	5.6368	-0.165061	1.39294	-4.56216	-5.69006	-1.82961	-1.98216	5.70263	0.774845	1.24788	-4.66883	-5.44751	-2.06868	-1.85444	6.12408	0.234916	1.76031	-4.57207	-5.99092	-1.04367	-2.02666	5.48124	0.871109	1.7651	-4.3796	-5.54935	-2.21042	-1.98999	6.28746	0.481367	1.34581	-4.0812	-5.53293	-2.05472	-2.09069	5.65003	0.842632	1.42035	-3.89738	-5.80115	-1.93332	-2.07914	5.49027	0.62185	1.1287	-4.74191	-5.82258	-1.43486	-2.0159	6.58177	1.19432	-1.803383e+01	-1.082649e+04	-1.084453e+04
500	1.82428	-3.70845	-6.1906	-2.03225	-1.1449	6.61408	0.46001	0.0560786	0.127317	0.117945	0.0889169	0.143016	0.414827	0.075663	0.499996	1.61662	-4.15711	-6.4508	-2.11419	-1.8655	6.3176	0.586722	1.40472	-4.43532	-6.27792	-2.03571	-1.95744	5.49975	0.650398	1.99378	-4.47596	-5.96934	-1.68656	-2.26872	6.18687	0.498721	1.5364	-4.56454	-5.85882	-1.73832	-1.94658	5.38832	0.454338	1.99083	-4.047	-6.66238	-2.16102	-1.55564	5.49662	0.479674	1.56203	-4.14259	-6.23916	-2.21621	-1.28263	6.13179	0.555194	1.93449	-3.44899	-6.82509	-1.77487	-1.50256	6.50037	0.410791	1.68458	-3.78405	-6.19661	-2.23667	-1.01517	5.71151	0.899363	1.57706	-4.53669	-6.36095	-2.2348	-1.06089	6.17589	1.08131	1.39456	-4.21712	-6.1793	-2.07676	-1.32908	5.79356	0.564227	2.10272	-3.8782	-6.32055	-1.95396	-1.10973	6.5875	0.996205	1.34309	-3.36185	-6.5201	-1.73368	-0.924959	6.62974	0.685673	1.63564	-3.86003	-6.05939	-2.22155	-0.676806	5.85569	0.954571	1.55706	-3.52938	-6.14866	-2.01431	-0.906141	6.4166	1.04292	-1.250915e+01	-1.082654e+04	-1.083905e+04
600	1.60905	-5.58275	-6.63831	-0.412174	-0.267024	5.69614	0.864931	0.0645518	0.248169	0.176131	1.2989	0.0901085	0.124645	0.300477	0.499996	1.7542	-4.95886	-5.97547	-1.5593	-0.280748	5.66117	1.39942	1.92843	-5.56242	-5.82754	-1.13696	-0.567886	5.37196	1.45211	1.64872	-5.13462	-5.85043	-0.411642	-1.00808	5.84301	0.836451	1.84915	-5.20152	-6.68376	-1.57366	0.0495334	5.60277	1.38284	1.86962	-4.51397	-5.68106	-1.05393	0.110621	5.62069	1.44518	1.89975	-5.05347	-5.59399	-0.50504	-0.805837	5.79296	1.41767	1.48579	-5.43971	-6.48796	-0.318307	-0.516466	5.87188	1.29569	1.86904	-5.64171	-6.07169	-1.53246	-0.251758	6.1715	0.956994	1.7108	-5.50713	-5.95371	-1.32485	-0.257086	5.77725	0.483313	1.835	-5.33122	-6.3458	-0.411614	-0.194134	6.24384	0.70669	1.80009	-5.58019	-6.15795	-1.00995	-0.429208	6.16936	0.618522	1.89259	-6.07681	-6.09633	-2.04036	-0.286152	6.40799	1.10442	1.52037	-5.45077	-6.30926	-1.78147	-0.536882	6.20331	1.52194	2.06351	-5.85459	-5.78226	-1.73794	0.192648	6.14592	0.994394	-3.194411e+01	-1.082655e+04	-1.085849e+04
700	1.39164	-3.90896	-6.18592	-1.58872	-0.344904	5.50549	1.42242	0.184877	0.116089	0.0451952	0.637862	0.0578223	0.19488	0.056877	0.499923	2.23064	-4.013	-5.98782	-1.2031	-0.564067	5.55252	1.40249	2.04979	-3.68263	-6.08729	-1.86186	-0.615868	5.30808	1.33781	2.28828	-4.28738	-6.28002	-1.46952	-0.75902	5.38502	1.24644	2.0768	-3.41232	-6.13735	-1.34423	-0.744155	5.58149	1.3263	2.11316	-4.27593	-5.88163	-1.47511	-0.362581	5.50785	1.19686	2.23397	-3.89316	-6.09638	-1.70485	-0.162993	5.8778	1.09295	1.65149	-4.12243	-6.01317	-0.70566	-0.445003	5.63602	1.13965	1.10877	-4.33519	-6.02774	-0.931334	-0.314799	6.4309	1.29516	1.7101	-3.95309	-5.87031	-0.558907	-0.740354	6.48488	1.54178	0.876723	-4.17181	-6.0897	-1.82804	-0.355127	6.42592	1.00222	1.40966	-4.01757	-5.86112	-0.942122	-0.50042	6.30512	1.10664	1.04441	-4.61111	-5.96372	-1.64457	0.0230502	6.04745	1.40977	1.2075	-4.5912	-5.98732	-1.01897	0.139967	6.02532	0.891395	1.12374	-4.12557	-5.89668	-1.80809	-0.320492	6.45485	1.28946	-9.022858e+00	-1.082812e+04	-1.083714e+04
800	1.2106	-3.8458	-5.80931	-0.0895017	0.730773	6.04572	1.19763	0.154531	0.421163	0.139689	0.1488	0.295755	0.166571	0.224424	0.499999	1.93421	-3.46753	-5.82569	-0.634886	0.530975	5.94946	0.294947	2.01579	-3.38779	-5.90401	-0.592982	-0.0134777	5.79594	0.361601	1.13001	-3.20406	-5.71623	-0.533041	0.962161	5.74249	0.0484293	2.27866	-4.59902	-6.33959	-1.3873	0.260594	5.46486	-0.517776	1.73853	-3.57281	-6.50672	-0.11138	0.457472	5.95602	0.501283	1.87994	-2.82221	-5.42273	-0.149117	0.0464166	5.51309	-0.0254343	1.27878	-2.99408	-6.09629	-0.199657	0.575985	6.16288	-0.0466852	1.93463	-3.54126	-5.62144	-0.0905711	-0.382414	5.48266	0.963617	1.7821	-3.95132	-5.43192	-0.142482	-0.411773	5.67059	0.802584	1.33899	-3.05258	-5.14841	-0.0683849	-0.589357	5.40889	0.668906	1.62808	-4.21889	-4.90174	-0.513677	-0.598903	5.51497	0.512427	1.57884	-4.53927	-5.80424	-0.324	-1.28259	5.73549	0.351175	1.85357	-2.81041	-5.69528	-0.00034118	-0.75207	5.91319	1.03602	2.16053	-3.14597	-5.94874	-0.310228	0.673351	5.79457	0.910901	-4.763681e+01	-1.082649e+04	-1.087412e+04
900	2.04902	-2.66492	-4.86894	-1.2402	-1.76257	5.54814	0.924594	0.120471	0.164683	0.0571824	0.273746	0.303239	0.399369	0.0897117	0.499995	1.28308	-3.14882	-5.03853	-1.41411	-1.71281	5.5437	1.44429	1.49205	-3.38871	-5.17319	-0.214683	-1.1964	6.45078	1.16614	1.32785	-3.6762	-5.23886	-0.700735	-1.86018	5.52777	1.28456	1.19935	-3.12806	-5.18511	-1.07787	-0.812792	5.58528	1.3551	1.31847	-2.6108	-4.69894	-1.13435	-1.70317	5.72753	1.46579	1.58868	-3.78371	-4.64722	-0.617382	-2.04903	5.44579	0.992921	0.75492	-3.19677	-5.45615	-0.947954	-0.673252	5.69725	1.17612	2.14581	-3.00922	-4.76082	-1.78191	-2.0145	6.31512	1.24154	1.83075	-2.7102	-5.10831	-1.34132	-1.66185	5.30457	1.35652	2.16241	-3.47491	-4.95637	-1.53826	-2.06219	6.36863	1.2382	1.97542	-2.60184	-4.79139	-0.908524	-1.94018	6.29196	1.5015	2.24481	-3.9862	-4.99445	-1.35822	-1.96013	6.27358	1.27619	2.0294	-2.81537	-4.2832	-1.57075	-1.89864	5.81654	1.31527	1.49832	-2.5747	-4.76615	-1.46874	-1.4951	6.18773	1.32182	-3.240164e+01	-1.082658e+04	-1.085898e+04
