iter	M_lnPC_stom(1)	M_lnPC_jeju(1)	M_lnPC_colon(1)	M_lnFu_jeju(1)	M_lnV_central(1)	M_lnVmax_vitro(1)	M_lnKm_vitro(1)	M_lnKmet(1)	M_lnKc2p(1)	M_lnKp2c(1)	V_lnPC_stom(1)	V_lnPC_jeju(1)	V_lnPC_colon(1)	V_lnFu_jeju(1)	V_lnV_central(1)	V_lnVmax_vitro(1)	V_lnKm_vitro(1)	V_lnKmet(1)	V_lnKc2p(1)	V_lnKp2c(1)	Ve_lnC_central(1)	lnPC_stom(1.1)	lnPC_jeju(1.1)	lnPC_colon(1.1)	lnFu_jeju(1.1)	lnV_central(1.1)	lnVmax_vitro(1.1)	lnKm_vitro(1.1)	lnKmet(1.1)	lnKc2p(1.1)	lnKp2c(1.1)	lnPC_stom(1.1.1)	lnPC_jeju(1.1.1)	lnPC_colon(1.1.1)	lnFu_jeju(1.1.1)	lnV_central(1.1.1)	lnVmax_vitro(1.1.1)	lnKm_vitro(1.1.1)	lnKmet(1.1.1)	lnKc2p(1.1.1)	lnKp2c(1.1.1)	lnPC_stom(1.1.2)	lnPC_jeju(1.1.2)	lnPC_colon(1.1.2)	lnFu_jeju(1.1.2)	lnV_central(1.1.2)	lnVmax_vitro(1.1.2)	lnKm_vitro(1.1.2)	lnKmet(1.1.2)	lnKc2p(1.1.2)	lnKp2c(1.1.2)	lnPC_stom(1.1.3)	lnPC_jeju(1.1.3)	lnPC_colon(1.1.3)	lnFu_jeju(1.1.3)	lnV_central(1.1.3)	lnVmax_vitro(1.1.3)	lnKm_vitro(1.1.3)	lnKmet(1.1.3)	lnKc2p(1.1.3)	lnKp2c(1.1.3)	lnPC_stom(1.1.4)	lnPC_jeju(1.1.4)	lnPC_colon(1.1.4)	lnFu_jeju(1.1.4)	lnV_central(1.1.4)	lnVmax_vitro(1.1.4)	lnKm_vitro(1.1.4)	lnKmet(1.1.4)	lnKc2p(1.1.4)	lnKp2c(1.1.4)	lnPC_stom(1.1.5)	lnPC_jeju(1.1.5)	lnPC_colon(1.1.5)	lnFu_jeju(1.1.5)	lnV_central(1.1.5)	lnVmax_vitro(1.1.5)	lnKm_vitro(1.1.5)	lnKmet(1.1.5)	lnKc2p(1.1.5)	lnKp2c(1.1.5)	lnPC_stom(1.1.6)	lnPC_jeju(1.1.6)	lnPC_colon(1.1.6)	lnFu_jeju(1.1.6)	lnV_central(1.1.6)	lnVmax_vitro(1.1.6)	lnKm_vitro(1.1.6)	lnKmet(1.1.6)	lnKc2p(1.1.6)	lnKp2c(1.1.6)	lnPC_stom(1.1.7)	lnPC_jeju(1.1.7)	lnPC_colon(1.1.7)	lnFu_jeju(1.1.7)	lnV_central(1.1.7)	lnVmax_vitro(1.1.7)	lnKm_vitro(1.1.7)	lnKmet(1.1.7)	lnKc2p(1.1.7)	lnKp2c(1.1.7)	lnPC_stom(1.1.8)	lnPC_jeju(1.1.8)	lnPC_colon(1.1.8)	lnFu_jeju(1.1.8)	lnV_central(1.1.8)	lnVmax_vitro(1.1.8)	lnKm_vitro(1.1.8)	lnKmet(1.1.8)	lnKc2p(1.1.8)	lnKp2c(1.1.8)	lnPC_stom(1.1.9)	lnPC_jeju(1.1.9)	lnPC_colon(1.1.9)	lnFu_jeju(1.1.9)	lnV_central(1.1.9)	lnVmax_vitro(1.1.9)	lnKm_vitro(1.1.9)	lnKmet(1.1.9)	lnKc2p(1.1.9)	lnKp2c(1.1.9)	lnPC_stom(1.1.10)	lnPC_jeju(1.1.10)	lnPC_colon(1.1.10)	lnFu_jeju(1.1.10)	lnV_central(1.1.10)	lnVmax_vitro(1.1.10)	lnKm_vitro(1.1.10)	lnKmet(1.1.10)	lnKc2p(1.1.10)	lnKp2c(1.1.10)	lnPC_stom(1.1.11)	lnPC_jeju(1.1.11)	lnPC_colon(1.1.11)	lnFu_jeju(1.1.11)	lnV_central(1.1.11)	lnVmax_vitro(1.1.11)	lnKm_vitro(1.1.11)	lnKmet(1.1.11)	lnKc2p(1.1.11)	lnKp2c(1.1.11)	lnPC_stom(1.1.12)	lnPC_jeju(1.1.12)	lnPC_colon(1.1.12)	lnFu_jeju(1.1.12)	lnV_central(1.1.12)	lnVmax_vitro(1.1.12)	lnKm_vitro(1.1.12)	lnKmet(1.1.12)	lnKc2p(1.1.12)	lnKp2c(1.1.12)	LnPrior	LnData	LnPosterior
0	-1.24724	-0.0976569	0.880025	-1.08351	1.3806	1.41504	6.03949	0.0631247	1.32127	-2.17954	0.0437675	0.196491	0.0818476	0.124902	0.322441	0.146256	0.0937352	0.150864	0.140555	0.0357707	0.193697	-1.03942	-0.322018	0.633705	-0.561628	2.12502	0.978628	6.28195	0.727008	1.0653	-2.01177	-1.00165	-0.357614	0.22287	-0.398046	1.62805	1.05859	5.75945	0.690379	0.860348	-2.13739	-0.949557	-0.274187	0.735528	-0.511591	2.07805	0.636748	5.85581	0.4854	1.51793	-1.98904	-0.610954	-0.323656	0.871035	-0.695103	2.08973	0.577524	6.4779	0.660852	0.891145	-1.77418	-1.06273	0.266382	0.426091	-0.455792	2.16896	1.16553	6.06058	0.457548	1.45919	-2.04747	-1.44316	-0.177196	0.578703	-1.00014	1.76528	0.574457	6.68454	0.377518	0.685304	-2.10637	-1.10802	-0.533947	1.08532	-0.671456	1.82027	0.89166	6.20627	0.436679	1.02007	-2.20488	-0.736464	-0.0509022	0.233652	-0.821959	2.03754	0.942655	6.27592	0.455485	0.877504	-2.2185	-1.10365	-0.41791	0.629296	-0.0823247	1.81837	1.2475	6.41217	0.286823	1.2308	-1.93038	-1.04527	-0.330164	1.07071	-0.672661	2.27033	1.18304	6.59326	0.834317	1.53283	-1.94854	-0.609916	0.396684	0.729298	-0.161991	2.15135	0.819626	6.20666	0.514935	1.69442	-2.07735	-0.858381	-0.0448478	0.217085	-0.913005	2.24089	1.3164	5.97195	0.543636	1.03687	-1.89201	-1.22557	-0.712958	0.178295	-0.678776	2.04674	0.817647	6.73351	0.945607	1.1142	-1.88034	-1.673739e+01	-3.300529e+03	-3.317266e+03
100	1.36893	-1.26001	1.99464	-2.26434	1.99108	0.666239	6.73658	-3.23756	1.68384	2.2226	0.711061	0.909936	0.108951	0.143185	0.0887002	0.310867	0.0914114	0.387167	0.0921471	0.437501	0.036131	-1.19557	-0.938893	2.01362	-2.10305	2.01831	-0.374983	6.22372	-1.87764	2.08935	0.828264	-2.1863	-0.57308	2.14556	-2.09464	1.58103	-0.245449	6.14081	-2.63329	1.718	0.388676	-0.578949	-0.0681811	1.81078	-2.30839	2.24557	-0.786324	6.3547	-2.15816	1.97316	1.45049	-2.28984	-0.174236	2.02841	-1.53956	1.23388	0.454633	6.80916	-1.28396	2.01837	0.132857	-0.0604366	-0.960148	2.1295	-1.96681	2.10981	-0.870926	5.38428	-1.74064	2.00264	1.5361	-2.18793	-0.125961	1.46043	-2.50148	2.10597	-0.221965	6.07651	-1.27225	1.95137	1.17351	-0.810546	-0.38917	2.11979	-1.86907	1.4175	-0.0509998	6.26805	-1.15626	1.78574	0.412751	-0.68648	-0.280415	1.11411	-2.6851	2.07957	0.866578	6.40588	-1.9033	2.15347	1.62853	-1.00949	0.462211	1.86046	-1.84657	2.11729	-0.667249	6.39393	-2.56083	1.56792	1.28801	-0.571823	0.780735	1.68201	-2.18165	2.2484	-0.564793	5.98574	-1.94999	1.78124	0.92168	-0.620077	0.700247	1.83058	-1.60883	2.0045	-0.551434	6.48672	-2.16848	2.19207	1.12288	-1.75858	-0.623763	1.52589	-1.84778	1.69916	0.59055	6.0761	-2.03631	2.16193	1.04352	-1.93666	-0.803969	1.65991	-2.25057	1.43562	-1.15149	6.19107	-0.842992	1.6857	0.177741	-9.419277e+01	2.758893e+01	-6.660384e+01
200	-1.09085	-0.404923	1.6702	-2.13173	1.88334	0.0107831	6.40969	-2.47155	1.70494	1.55865	0.35728	0.269235	0.25635	0.132447	0.239575	0.0961245	0.163541	0.22224	0.118314	0.514104	0.0262215	-1.29324	-0.260099	1.45853	-2.07645	2.22615	-0.440932	6.13047	-1.88002	2.25038	0.76444	-0.9721	-1.09371	2.15592	-2.232	1.8157	-0.593245	5.70979	-1.79266	1.66583	0.48899	-1.49862	-0.568293	1.76731	-2.4506	2.21242	-0.99214	6.0922	-2.05312	2.24568	1.32385	-1.07085	-0.0500933	1.65939	-2.94937	1.02003	0.565528	5.42105	-1.66265	2.21796	0.215965	-1.86145	-0.0123237	1.02769	-2.098	2.29701	-0.911514	5.6847	-2.04582	2.09917	1.80157	-0.939587	0.358346	0.534516	-2.04481	2.09936	-0.208097	6.17975	-2.22108	1.58784	0.687644	-2.29256	0.0345711	1.74958	-2.14969	1.11595	0.290769	6.2017	-1.57197	2.05284	0.306603	-1.60849	-0.955147	1.44086	-1.945	2.28039	-0.564806	5.93882	-1.8453	 2.27	1.96643	-1.72325	0.76978	1.78554	-2.07573	1.82046	-0.546271	6.3703	-2.63638	2.14599	1.31844	-1.61132	-0.320208	1.50748	-1.74014	2.28269	-0.471518	5.79426	-1.75746	2.26196	1.73505	-1.07012	0.429259	1.56626	-2.0806	2.24784	-0.167327	6.39415	-2.35848	2.10528	1.4009	0.238612	-0.680823	2.16702	-1.68901	1.74306	-0.0269663	5.76052	-1.83867	1.91056	0.903077	-1.86195	-0.0110495	1.82729	-1.70876	0.53752	-0.563332	5.81617	-1.29705	2.23352	-0.0666795	-7.647427e+01	4.097904e+01	-3.549523e+01
300	-1.96025	0.0276681	0.168503	-2.21333	1.96008	-0.432891	5.76264	-2.10972	1.71688	1.81311	0.123865	0.126084	0.333848	0.060164	0.492732	0.125905	0.148308	0.518254	0.122319	0.308784	0.0370876	-2.01941	-0.208749	1.29652	-2.28008	1.98331	-0.0590557	5.76823	-2.26869	2.29033	1.03191	-2.23764	-0.369226	1.15594	-2.00427	1.63543	0.143193	6.60039	-2.73693	2.17156	0.899948	-1.57028	-0.0284467	1.35959	-2.54249	2.25173	-0.552835	5.57275	-2.82754	1.9973	1.7249	-2.05248	-0.205135	2.03148	-2.54216	0.94234	-0.140252	4.88363	-2.35147	1.75398	0.137794	-1.77909	0.391442	0.657829	-2.64768	1.97241	0.219683	6.35718	-2.20782	1.85301	1.27608	-2.11894	-0.347858	0.82972	-2.14426	1.55681	-0.173071	5.46687	-1.79951	2.06243	0.838023	-1.4671	-0.14735	1.08008	-1.88214	1.25611	-0.431045	6.22654	-1.0533	1.96673	0.267621	-2.21708	-1.07761	0.700312	-1.82482	2.2475	-0.302466	5.37421	-2.67365	2.09756	1.92683	-1.64568	-0.509423	0.921523	-2.28303	1.84881	0.284359	5.58566	-2.574	2.09064	1.37338	-1.62633	-0.113183	1.06856	-2.04482	2.08948	-0.350135	5.21557	-2.13684	2.23311	1.03761	-1.84093	-0.465834	1.44438	-2.06905	2.25154	0.0633317	5.22458	-3.83976	1.97129	1.39827	-2.124	-0.399034	0.858346	-2.13362	1.97706	-0.726695	4.97362	-2.02714	2.11639	1.14775	-1.90406	0.0956725	1.55885	-1.98403	0.608375	-0.716578	5.35645	-2.1473	2.2711	-0.136249	-6.379305e+01	2.947017e+01	-3.432289e+01
400	-1.00923	0.46597	1.00892	-1.43895	1.24871	0.620786	6.19109	-2.82983	2.04723	1.91161	0.108934	0.178675	0.241213	0.0747039	0.414796	0.0782402	0.32711	0.0841142	0.118969	1.40928	0.0291406	-1.7456	-0.435567	0.369784	-2.11961	1.86485	-0.286178	5.35542	-2.48436	2.21846	2.06789	-1.46169	-1.10954	1.07731	-2.1627	1.45358	-0.177045	5.591	-2.66002	2.26607	0.788522	-1.56455	-0.752977	0.793136	-2.16307	2.20758	-0.781493	5.48073	-2.83755	2.17433	1.66766	-1.90429	0.633283	-0.771784	-2.60251	0.740944	-0.749597	4.85894	-2.80868	2.27723	-0.169192	-1.80213	0.171529	0.121401	-2.41561	2.29836	-0.178001	6.09194	-2.57327	2.22764	2.13822	-0.950862	-0.278535	0.786636	-1.82393	1.86462	-0.116927	5.82457	-2.50015	2.03138	1.62609	-1.52381	-0.152765	1.45168	-2.0564	1.63527	-0.237329	5.69411	-2.36323	1.68419	0.559376	-1.74005	-0.931953	-0.186088	-2.27468	2.19354	-0.0564683	5.21369	-2.21755	2.19216	1.93546	-1.97731	-1.04447	-0.307727	-2.06243	2.14973	-0.301697	5.26806	-2.31546	1.67305	1.58065	-2.15177	-0.589858	0.199313	-2.01739	2.13234	0.157407	5.4479	-2.50842	2.23372	1.64607	-1.31264	-0.770127	1.42491	-2.0217	2.22875	-0.36061	5.11154	-2.5307	2.21285	1.71605	-1.9524	-0.927472	0.222483	-2.05739	2.06097	-0.091326	5.07054	-2.32153	1.5166	1.16543	-1.63026	-0.22674	-0.272605	-2.25954	0.617091	-0.440995	4.99688	-2.65404	2.26511	-0.206021	-6.906032e+01	3.917557e+01	-2.988474e+01
500	-2.00692	0.246389	-1.51046	-2.03941	2.11076	-0.37511	5.88173	-1.8532	1.86454	-0.0128308	0.206007	0.266098	0.0660771	0.168854	0.159315	0.107009	0.248276	1.34096	0.106148	0.67594	0.0377896	-1.58871	-0.357363	-1.45411	-2.44794	2.19655	-0.147915	5.48285	-2.79941	2.08929	0.863176	-1.40036	-0.337842	-1.36103	-2.3074	1.84986	-0.355928	5.8509	-3.07451	2.01052	0.802398	-1.99199	-0.873997	-1.51012	-2.69295	2.23021	-0.0943811	5.56289	-3.01789	2.13277	1.50438	-1.26167	-0.402957	-1.73466	-2.5481	1.47111	-0.220784	5.59669	-0.838108	1.89909	-0.0107551	-0.656274	-0.0965021	-1.51023	-2.27578	2.11204	0.255368	5.82046	-3.96655	1.96248	1.80749	-1.20192	0.0688357	-1.52035	-2.20496	1.90718	0.215002	5.91158	-2.53092	1.62716	0.819125	-1.4023	0.73716	-1.48136	-2.7247	1.32692	-0.441429	5.43056	-2.04411	2.29621	0.799248	-1.53597	-0.4531	-1.1161	-2.57701	2.21284	0.219937	5.07907	-3.25478	2.28368	1.98336	-1.86484	-1.08451	-0.923537	-2.85812	1.97381	-0.780637	4.96512	-1.68856	2.11093	1.51323	-1.62251	-0.430471	-1.25237	-1.62865	2.12018	-0.151396	5.27021	-3.56995	1.92549	1.33365	-1.01881	-0.209877	-0.934885	-2.71392	2.19944	-0.0164486	5.02897	-2.94096	2.00231	1.21918	-1.64543	-0.176345	-1.40221	-2.34994	2.04333	0.289915	5.8309	-2.52022	1.57258	0.763551	-1.67549	-0.57337	-1.34575	-2.52156	1.22375	-0.0596701	6.28561	-0.628811	2.26006	0.320871	-6.490599e+01	3.048211e+01	-3.442388e+01
600	-1.86244	-0.154567	-1.23161	-1.77304	1.99307	0.0800032	5.88515	-2.31446	1.71246	1.18659	0.224654	0.238086	0.098155	0.0808033	1.2656	0.0371605	0.134146	0.11254	0.117204	1.125	0.0416316	-2.01906	-0.143292	-1.26435	-2.18339	2.17063	0.0133203	5.92263	-2.39049	2.24045	1.09465	-1.80599	-0.254825	-0.699567	-1.9665	1.78981	-0.27187	6.43692	-2.22154	1.98738	0.837653	-1.79007	-0.198508	-0.907226	-2.53471	2.03429	-0.343797	5.68068	-2.22059	2.28827	1.4247	-1.8114	-0.398706	-1.79844	-2.396	1.01695	0.364535	5.34409	-1.82966	2.28961	0.288898	-2.00454	-0.506985	-1.01605	-1.88646	2.27655	0.0260038	5.8436	-2.50578	1.94994	2.1262	-1.65491	0.298471	-1.1132	-2.36312	1.72659	-0.105449	5.67435	-2.92355	2.11902	1.01317	-1.54964	0.442139	-1.00972	-1.99328	1.32098	0.036775	6.4523	-2.17893	2.26688	0.653382	-2.08376	-0.176199	-1.41187	-2.30095	2.11132	-0.016362	5.6047	-2.65487	2.16126	1.54585	-1.53292	-0.0489743	-1.29423	-2.02047	1.91993	-0.221776	5.80549	-2.68989	1.62122	1.03304	-1.65947	-0.930093	-1.00216	-1.26111	2.27339	-0.261802	5.49592	-2.34667	2.14189	1.74944	-2.14743	-0.0156025	-1.08572	-2.36513	2.2347	-0.129323	5.63139	-2.19616	2.20478	1.19837	-2.06079	0.53483	-1.3995	-2.0237	1.50139	-0.129748	6.06551	-2.37893	2.10729	0.424634	-1.99783	-0.180801	-1.70635	-1.43064	0.843696	-0.226419	6.16643	-1.91283	2.23307	0.109122	-4.850657e+01	3.555789e+01	-1.294868e+01
700	-2.18205	0.407613	0.193185	-1.93404	1.4373	0.27586	6.85058	-2.56635	1.91387	0.934464	0.139705	0.241532	0.0678873	0.10375	0.510402	0.156966	0.354358	0.0349763	0.135558	0.338819	0.0296865	-2.0546	-0.357288	-0.0132348	-2.03125	1.6781	0.150706	6.18873	-2.54787	2.2682	1.11492	-2.00885	0.103208	0.0269464	-1.90805	1.44815	-0.200433	6.70229	-2.61217	2.24634	0.517333	-1.8158	-0.899275	-0.278025	-2.44072	2.10899	0.489565	6.02899	-2.53084	2.14319	1.73066	-2.19329	-0.320937	-0.244837	-1.87132	0.81755	-0.0277283	5.4319	-2.71959	2.12165	0.017958	-2.20354	0.00165131	-0.367941	-2.53636	2.28058	-0.00630452	6.02378	-2.51366	2.14239	1.90552	-1.14417	0.0566205	-0.487475	-2.19124	1.76988	-0.361214	5.36245	-2.52842	1.93139	0.93305	-1.70967	0.163141	-0.177272	-1.97488	1.40693	0.446616	6.51231	-2.53235	2.05427	0.409394	-2.19169	-0.345643	0.107146	-1.50141	2.17467	-0.228333	6.10721	-2.63967	2.17505	1.76752	-2.17031	-0.303614	-0.0686654	-2.16491	2.14727	0.227018	6.00644	-2.38383	1.82551	1.48345	-1.69656	-0.769521	-0.0636228	-1.75074	2.23873	1.05559	6.35491	-2.47088	2.0279	1.47332	-1.73014	-0.250969	0.646526	-1.96257	2.21962	-0.401259	5.29775	-2.69589	2.26837	1.59373	-1.90148	-0.187294	-0.375352	-1.93023	1.53334	0.387491	6.10131	-2.42883	2.17219	0.748241	-1.6275	-0.469132	-0.208331	-2.15844	0.663102	0.421161	5.74739	-2.4048	2.22912	0.00405362	-3.810122e+01	4.847188e+01	1.037066e+01
800	-2.04204	0.190648	0.851495	-2.33079	2.2865	0.0781279	6.33925	-1.83927	1.84578	1.54834	0.563436	0.121134	0.143419	0.0680387	0.226869	0.198993	1.34104	0.0895395	0.0448533	0.376577	0.0240168	-1.77016	0.024581	0.806958	-2.11417	2.13438	-0.271879	6.33071	-2.18799	2.28515	1.28016	-2.10324	0.25786	0.96777	-2.41734	1.72575	-0.963523	5.91683	-2.39196	2.25512	1.04419	-2.20828	-0.079474	0.523344	-2.31301	2.06634	-0.336343	5.86027	-2.87772	2.2338	1.3478	-1.21529	0.255798	0.370874	-2.32058	0.954733	-0.100665	5.46703	-2.7158	2.2635	0.0205362	-1.59935	0.593824	0.423255	-2.44064	2.21443	-0.49118	5.83086	-2.99231	2.24471	1.73784	-0.0852685	0.159674	1.08481	-1.2724	1.73403	-0.371373	6.33269	-2.57872	1.92534	0.817497	-2.03127	-0.0710748	1.11932	-2.10641	1.24166	-0.0299637	5.81181	-2.21204	2.03886	0.516087	-0.853824	0.414055	0.184506	-2.16423	2.27893	-0.362705	6.14106	-2.43935	2.0589	1.64547	-2.11446	0.418146	1.16142	-2.51476	2.21111	-0.494548	6.64757	-1.9984	2.15347	1.75869	-1.87242	0.356253	1.14354	-1.77431	2.20075	0.103826	6.41182	-2.58041	2.27236	1.50663	-2.13987	0.459108	0.844645	-2.3371	2.28884	0.152134	6.44826	-2.59575	2.26985	1.32425	-1.784	0.311093	0.591372	-1.97986	1.85728	-0.320021	5.93725	-2.13983	2.18003	1.08488	-1.61882	-0.27299	0.751338	-2.19876	0.975881	-0.238182	5.25137	-2.46456	2.08755	0.0755815	-5.677070e+01	4.294046e+01	-1.383023e+01
900	-0.899139	0.178896	0.371457	-1.68748	2.18354	-0.71405	6.45422	-3.75371	2.01236	1.18961	0.155947	0.102919	0.0698689	0.0915051	0.25217	0.109318	0.276397	0.130354	0.0902657	0.555566	0.0233063	-1.17008	0.111372	0.0701388	-2.07301	2.0101	-0.0785193	5.61774	-3.94638	2.26482	1.17262	-1.10296	0.00384455	-0.00907969	-2.27246	1.64084	-0.709761	5.67475	-3.5241	2.09583	0.741407	-1.22275	-0.0362618	0.00234608	-2.32906	2.12221	-0.36438	5.76003	-3.90185	2.21138	1.43222	-1.11454	0.354481	0.37021	-1.86478	0.894018	-0.422489	5.58503	-3.90606	2.24363	0.0765168	-2.15063	0.0963044	0.180376	-1.99084	2.03362	-0.154219	5.81611	-3.82326	2.21541	1.89367	-1.46959	0.232432	0.133555	-1.89938	1.53658	0.196312	6.20324	-3.64951	2.13826	0.903916	-1.26755	0.447787	-0.138472	-2.26264	1.21139	-0.0652464	5.96298	-3.72053	2.26055	0.59121	-1.20803	0.196883	0.17599	-2.42703	2.1631	-0.105414	5.64458	-3.46102	2.14745	1.66144	-0.557955	0.275499	0.639031	-2.26655	2.13841	-0.768714	5.35507	-3.75266	1.8748	1.49737	-1.29878	0.442951	0.074832	-1.94527	2.01652	-0.0834687	5.83352	-3.83521	2.2379	1.31625	-1.16155	-0.0154315	0.199849	-2.55524	2.29168	0.0565229	5.35551	-3.75188	2.23224	1.44861	-0.846553	0.228098	-0.491637	-2.04866	1.93307	-0.299858	5.61347	-3.61172	1.98154	0.973289	-1.6056	-0.259098	0.11674	-2.25447	0.690109	0.0672601	5.48453	-3.70669	2.20697	-0.00375024	-2.222053e+01	4.766959e+01	2.544905e+01
