Level	Simulation	Output_Var	Time	Data	Prediction
1_1_1	1	CDCVGmol	1	3.55029e-006	3.46225e-005
1_1_1	1	CDCVGmol	2	2.08633e-006	3.44618e-005
1_1_1	1	CDCVGmol	6	-1	1.18816e-005
1_1_1	1	CDCVGmol	12	-1	2.01232e-006
1_1_1	1	CDCVGmol	24	-1	1.29666e-007
1_1_1	1	CDCVGmol	36	-1	9.47666e-009

1_1_1	1	CLivDCVGmol	1	6.01775e-005	3.68715e-005
1_1_1	1	CLivDCVGmol	2	3.70485e-007	3.32886e-005
1_1_1	1	CLivDCVGmol	6	-1	1.06401e-005
1_1_1	1	CLivDCVGmol	12	-1	1.85908e-006
1_1_1	1	CLivDCVGmol	24	-1	1.21075e-007
1_1_1	1	CLivDCVGmol	36	-1	8.85444e-009

1_1_1	1	CKidDCVGmol	1	5.31195e-005	3.45892e-005
1_1_1	1	CKidDCVGmol	2	1.75953e-005	3.448e-005
1_1_1	1	CKidDCVGmol	6	3.8299e-006	1.19006e-005
1_1_1	1	CKidDCVGmol	12	-1	2.01467e-006
1_1_1	1	CKidDCVGmol	24	-1	1.29798e-007
1_1_1	1	CKidDCVGmol	36	-1	9.48622e-009

1_1_1	1	CBrnDCVGmol	1	3.73629e-005	3.45132e-005
1_1_1	1	CBrnDCVGmol	2	-1	3.45188e-005
1_1_1	1	CBrnDCVGmol	6	4.35453e-006	1.1942e-005
1_1_1	1	CBrnDCVGmol	12	-1	2.01977e-006
1_1_1	1	CBrnDCVGmol	24	-1	1.30084e-007
1_1_1	1	CBrnDCVGmol	36	-1	9.50692e-009

1_1_1	1	CDCVCmol	1	1.01056e-005	3.13008e-006
1_1_1	1	CDCVCmol	2	-1	5.62144e-006
1_1_1	1	CDCVCmol	6	-1	5.36268e-006
1_1_1	1	CDCVCmol	12	-1	1.30229e-006
1_1_1	1	CDCVCmol	24	-1	7.36582e-008
1_1_1	1	CDCVCmol	36	-1	5.19038e-009

1_1_1	1	CKidDCVCmol	1	6.3405e-006	3.1088e-006
1_1_1	1	CKidDCVCmol	2	3.05308e-006	5.60197e-006
1_1_1	1	CKidDCVCmol	6	-1	5.35634e-006
1_1_1	1	CKidDCVCmol	12	-1	1.30119e-006
1_1_1	1	CKidDCVCmol	24	-1	7.3587e-008
1_1_1	1	CKidDCVCmol	36	-1	5.18517e-009

1_1_1	1	CBrnDCVCmol	1	5.94568e-006	3.06312e-006
1_1_1	1	CBrnDCVCmol	2	-1	5.56012e-006
1_1_1	1	CBrnDCVCmol	6	-1	5.34268e-006
1_1_1	1	CBrnDCVCmol	12	-1	1.29883e-006
1_1_1	1	CBrnDCVCmol	24	-1	7.34336e-008
1_1_1	1	CBrnDCVCmol	36	-1	5.17395e-009

1_1_1	1	CNDCVCmol	1	6.4727e-006	4.74195e-006
1_1_1	1	CNDCVCmol	2	5.73768e-006	9.55702e-006
1_1_1	1	CNDCVCmol	6	-1	1.31875e-005
1_1_1	1	CNDCVCmol	12	-1	5.43294e-006
1_1_1	1	CNDCVCmol	24	-1	5.27801e-007
