iter	M_lnPC_stom(1)	M_lnPC_jeju(1)	M_lnPC_colon(1)	M_lnFu_jeju(1)	M_lnV_central(1)	M_lnVmax_vitro(1)	M_lnKm_vitro(1)	M_lnKmet(1)	M_lnKc2p(1)	M_lnKp2c(1)	V_lnPC_stom(1)	V_lnPC_jeju(1)	V_lnPC_colon(1)	V_lnFu_jeju(1)	V_lnV_central(1)	V_lnVmax_vitro(1)	V_lnKm_vitro(1)	V_lnKmet(1)	V_lnKc2p(1)	V_lnKp2c(1)	Ve_lnC_central(1)	lnPC_stom(1.1)	lnPC_jeju(1.1)	lnPC_colon(1.1)	lnFu_jeju(1.1)	lnV_central(1.1)	lnVmax_vitro(1.1)	lnKm_vitro(1.1)	lnKmet(1.1)	lnKc2p(1.1)	lnKp2c(1.1)	lnPC_stom(1.1.1)	lnPC_jeju(1.1.1)	lnPC_colon(1.1.1)	lnFu_jeju(1.1.1)	lnV_central(1.1.1)	lnVmax_vitro(1.1.1)	lnKm_vitro(1.1.1)	lnKmet(1.1.1)	lnKc2p(1.1.1)	lnKp2c(1.1.1)	lnPC_stom(1.1.2)	lnPC_jeju(1.1.2)	lnPC_colon(1.1.2)	lnFu_jeju(1.1.2)	lnV_central(1.1.2)	lnVmax_vitro(1.1.2)	lnKm_vitro(1.1.2)	lnKmet(1.1.2)	lnKc2p(1.1.2)	lnKp2c(1.1.2)	lnPC_stom(1.1.3)	lnPC_jeju(1.1.3)	lnPC_colon(1.1.3)	lnFu_jeju(1.1.3)	lnV_central(1.1.3)	lnVmax_vitro(1.1.3)	lnKm_vitro(1.1.3)	lnKmet(1.1.3)	lnKc2p(1.1.3)	lnKp2c(1.1.3)	lnPC_stom(1.1.4)	lnPC_jeju(1.1.4)	lnPC_colon(1.1.4)	lnFu_jeju(1.1.4)	lnV_central(1.1.4)	lnVmax_vitro(1.1.4)	lnKm_vitro(1.1.4)	lnKmet(1.1.4)	lnKc2p(1.1.4)	lnKp2c(1.1.4)	lnPC_stom(1.1.5)	lnPC_jeju(1.1.5)	lnPC_colon(1.1.5)	lnFu_jeju(1.1.5)	lnV_central(1.1.5)	lnVmax_vitro(1.1.5)	lnKm_vitro(1.1.5)	lnKmet(1.1.5)	lnKc2p(1.1.5)	lnKp2c(1.1.5)	lnPC_stom(1.1.6)	lnPC_jeju(1.1.6)	lnPC_colon(1.1.6)	lnFu_jeju(1.1.6)	lnV_central(1.1.6)	lnVmax_vitro(1.1.6)	lnKm_vitro(1.1.6)	lnKmet(1.1.6)	lnKc2p(1.1.6)	lnKp2c(1.1.6)	lnPC_stom(1.1.7)	lnPC_jeju(1.1.7)	lnPC_colon(1.1.7)	lnFu_jeju(1.1.7)	lnV_central(1.1.7)	lnVmax_vitro(1.1.7)	lnKm_vitro(1.1.7)	lnKmet(1.1.7)	lnKc2p(1.1.7)	lnKp2c(1.1.7)	lnPC_stom(1.1.8)	lnPC_jeju(1.1.8)	lnPC_colon(1.1.8)	lnFu_jeju(1.1.8)	lnV_central(1.1.8)	lnVmax_vitro(1.1.8)	lnKm_vitro(1.1.8)	lnKmet(1.1.8)	lnKc2p(1.1.8)	lnKp2c(1.1.8)	lnPC_stom(1.1.9)	lnPC_jeju(1.1.9)	lnPC_colon(1.1.9)	lnFu_jeju(1.1.9)	lnV_central(1.1.9)	lnVmax_vitro(1.1.9)	lnKm_vitro(1.1.9)	lnKmet(1.1.9)	lnKc2p(1.1.9)	lnKp2c(1.1.9)	lnPC_stom(1.1.10)	lnPC_jeju(1.1.10)	lnPC_colon(1.1.10)	lnFu_jeju(1.1.10)	lnV_central(1.1.10)	lnVmax_vitro(1.1.10)	lnKm_vitro(1.1.10)	lnKmet(1.1.10)	lnKc2p(1.1.10)	lnKp2c(1.1.10)	lnPC_stom(1.1.11)	lnPC_jeju(1.1.11)	lnPC_colon(1.1.11)	lnFu_jeju(1.1.11)	lnV_central(1.1.11)	lnVmax_vitro(1.1.11)	lnKm_vitro(1.1.11)	lnKmet(1.1.11)	lnKc2p(1.1.11)	lnKp2c(1.1.11)	lnPC_stom(1.1.12)	lnPC_jeju(1.1.12)	lnPC_colon(1.1.12)	lnFu_jeju(1.1.12)	lnV_central(1.1.12)	lnVmax_vitro(1.1.12)	lnKm_vitro(1.1.12)	lnKmet(1.1.12)	lnKc2p(1.1.12)	lnKp2c(1.1.12)	LnPrior	LnData	LnPosterior
0	-0.478225	-1.32033	-0.377331	-1.05289	-0.625859	1.3853	6.8333	-1.5061	-2.27928	0.967758	0.169264	0.0540008	0.288971	0.247515	0.173455	0.0874186	0.213241	0.553872	0.127431	1.43575	0.0187972	-0.865477	-1.25714	0.243528	-0.623827	-0.697179	1.46494	6.52717	-0.954226	-2.22113	1.06666	-0.176842	-1.45155	-0.124487	-0.921481	0.181142	0.99886	6.63181	-0.140505	-2.01402	0.759906	-0.575311	-1.49302	0.268129	-0.061187	-0.0474329	0.829776	6.42731	-0.851902	-1.84947	1.1215	-1.02097	-1.23982	0.486154	-0.673389	-1.07994	0.934953	6.89323	-1.69549	-1.43295	-0.798232	-0.98611	-1.2976	-0.481162	-1.16293	-0.598155	1.66712	6.77051	-2.07618	-2.06713	0.00561627	-1.31653	-1.8094	0.679195	-0.990129	-0.827581	1.08042	5.99979	-1.03376	-2.24109	-0.808287	-0.607542	-1.28464	-1.09995	-0.342668	-0.393689	1.8526	6.54923	-0.549237	-2.24129	-1.04204	-0.934452	-1.0862	-0.106948	-0.562864	-0.955523	1.44834	6.15295	-2.0869	-2.28489	-1.32053	-0.98845	-1.39535	0.806773	-0.952932	-1.13908	1.30562	6.69805	0.627091	-2.22854	0.509081	-0.508646	-1.29171	0.124297	-0.189253	-0.93205	1.49353	6.83711	-1.34986	-1.99814	0.843944	-0.98343	-0.853278	0.713971	-0.993594	-1.03284	1.5545	6.76056	-0.565109	-2.12132	-0.424955	-1.38069	-1.34264	0.219552	-1.21835	-0.684501	1.75534	6.05054	-0.783513	-1.92649	-0.699737	-0.624112	-0.850398	-0.165267	-0.510439	-0.26604	1.45597	6.50985	-2.6359	-1.38979	1.86368	-7.664675e+01	-1.129455e+05	-1.130221e+05
100	0.778063	-1.98834	2.28327	-0.331344	2.13453	0.693682	6.41572	-3.19286	-1.77222	-0.14524	0.214741	0.0779245	0.0829564	0.244999	0.409085	0.202001	0.457477	0.265397	0.569533	0.0974922	0.0562676	0.530493	-2.07791	1.95884	-0.287964	2.18436	1.0105	6.43178	-3.25754	-1.34524	-0.521982	0.25983	-1.77952	1.09948	-0.781653	1.84178	-0.139403	5.94335	-3.45375	-0.193048	-0.534895	0.906279	-2.07456	1.9484	-0.481399	2.18292	1.05722	6.90193	-3.35809	-2.22556	-0.679548	0.536686	-2.03398	1.60028	-0.577694	0.721643	1.37899	6.54109	-3.0059	0.760734	-0.387957	0.842564	-2.0036	1.59713	-0.539475	2.05205	0.0962813	5.61085	-3.28543	-2.12363	-0.170653	0.739557	-2.21591	1.7971	-0.469589	1.70489	0.855424	6.17641	-2.94802	-1.88593	-0.181804	1.39123	-1.94841	2.04849	-0.1158	1.37572	0.581661	6.45693	-3.55998	-1.3075	0.0294594	-0.0998044	-2.16667	1.54761	-0.254827	2.28043	0.737554	6.88238	-3.0542	-1.47444	-0.186943	0.280668	-1.83796	1.52446	-1.825	2.25031	0.428182	5.14021	-3.22854	-1.81069	-0.88231	0.858422	-2.22359	2.00768	-0.822266	1.33981	0.0906816	4.69273	-3.52208	-1.10375	-0.574894	0.596169	-2.19929	2.28922	-0.644441	2.1832	1.50401	6.88606	-3.15099	-1.90145	0.0220707	0.346957	-2.2835	1.75202	-0.280003	1.80373	1.11405	6.50926	-3.61878	-1.14962	-0.651675	0.330213	-2.01045	1.98556	-0.785308	0.72068	1.62547	6.76606	-3.65482	-0.488278	-0.42097	-6.778658e+01	1.859125e+00	-6.592745e+01
200	0.823963	-2.16435	2.24358	-1.20282	2.29479	0.529717	5.45965	-3.46799	-0.753651	-0.774003	0.0762166	0.151652	0.0862177	0.146647	0.292834	0.204407	0.224092	0.0693558	0.883024	1.21037	0.0421486	0.921214	-2.22922	2.23039	-0.648361	1.30508	0.788935	6.2473	-3.34711	-0.706605	0.39567	0.680098	-2.20921	1.92449	-1.45312	1.46685	0.549122	5.38444	-3.5364	-0.523531	-1.18722	1.2014	-2.29339	2.24603	-0.658506	1.70597	0.793664	5.99186	-3.73891	-0.521904	1.59159	0.964155	-1.77029	2.08538	-0.908009	0.211973	1.89167	6.82785	-3.56148	0.955445	-0.362399	0.54089	-2.2712	1.90758	-0.151465	1.684	0.119517	5.78749	-3.54903	-1.85992	0.148408	0.923878	-1.93907	2.27539	-0.58543	1.25055	1.68499	6.7991	-3.44035	0.047859	0.702064	0.595657	-1.99729	2.24553	-0.373179	0.983787	0.771977	6.07456	-3.69264	0.119783	0.911252	0.742242	-2.02556	1.87268	-0.400135	2.15448	0.731378	6.56152	-3.2797	-1.67596	1.53398	0.669826	-1.7957	1.97082	-0.435198	1.71405	1.00343	6.73052	-3.69365	-1.00055	-0.216694	0.690348	-2.04948	2.29954	-0.694704	1.90165	0.955372	5.96382	-3.18031	-1.77601	-0.0854708	0.69941	-2.11354	1.9053	-0.325459	1.92959	0.981212	6.26239	-3.79912	-1.74372	-0.494395	1.07674	-2.14199	2.15919	-0.624904	1.07519	1.29749	6.11876	-3.43784	0.365163	0.422342	1.35572	-1.68438	2.20652	-0.982771	0.745494	1.21301	6.4523	-3.4158	0.344208	-0.730197	-6.259410e+01	1.900620e+01	-4.358790e+01
300	1.01278	-1.5529	1.75407	-0.323193	1.85602	0.513429	6.69648	-3.08085	-0.246869	0.090195	0.0731237	0.14765	0.20379	0.162964	0.588055	0.0657036	0.217399	0.166824	1.49734	0.439922	0.0333001	0.913471	-2.09499	2.2311	-0.17156	2.17503	0.875795	6.74815	-3.27081	-0.237605	0.0711598	1.15555	-2.01021	1.96339	-0.969391	1.36363	0.764792	6.42662	-3.26388	0.731229	-0.245804	0.706291	-1.95213	2.28791	-0.545353	2.1747	0.957407	6.86333	-3.70585	0.150187	1.42521	1.15969	-1.66672	2.08378	-0.348495	0.324148	0.779925	6.40991	-2.48687	1.30826	-0.317337	1.25566	-2.26376	1.81444	-0.517258	2.03921	0.707132	6.35541	-3.10863	-1.55677	0.872088	0.541307	-1.86911	1.96608	-0.0282328	1.36933	0.532634	6.34297	-3.13215	-0.457888	0.0595031	1.15018	-1.87426	1.64069	-0.455171	0.596242	1.03573	6.3935	-3.6042	1.13388	-0.0390568	0.787258	-1.8956	1.40148	-0.379395	1.95026	1.0625	6.76175	-3.24033	-0.269806	0.307124	0.854927	-2.06841	1.94772	-0.210001	1.87817	0.726748	6.58998	-3.33259	-0.123217	1.02534	1.11972	-2.10165	2.04713	-0.516257	1.85266	1.26172	6.4884	-2.98921	-0.778316	0.390638	1.12409	-1.92087	1.87911	-0.210202	2.26951	0.659503	6.41566	-3.48697	-0.545206	1.19585	0.563048	-1.8839	1.96225	-0.59068	1.28664	1.18297	6.47918	-3.72116	0.432735	-0.264314	0.871386	-1.34873	2.19031	-0.866732	-0.0856935	0.976497	6.57669	-3.53035	2.00837	-0.238939	-5.416502e+01	4.521843e+01	-8.946589e+00
400	0.297737	-2.22888	2.24312	-0.0316738	-0.296146	0.696546	6.44188	-2.77439	0.180589	1.10554	0.214703	0.102949	0.591249	0.048716	0.924527	0.0528094	0.258496	0.0738527	1.07902	0.77233	0.0316869	0.700856	-2.14394	2.26417	-0.362628	1.2095	0.810193	6.80634	-2.79538	0.709669	0.837881	1.18716	-2.29424	2.02904	-0.368992	1.29464	0.657636	6.80183	-2.68358	0.930732	0.336245	0.720105	-2.28488	1.91532	-0.286177	2.22597	0.150449	6.547	-2.99501	0.74757	1.73969	0.727153	-2.20945	2.22527	-0.288026	-0.947094	1.43531	6.56667	-2.85441	1.8912	-0.448767	0.355807	-1.75081	2.1275	-0.46776	2.06829	0.615486	6.47065	-3.12126	-1.47644	0.498244	0.081334	-1.66212	1.39566	-0.35006	1.61446	0.592745	6.58155	-2.49776	1.20624	0.980322	1.22886	-1.63695	2.05534	-0.362262	1.44517	0.506648	6.41489	-2.61651	0.12319	-0.0419508	0.586727	-2.20131	2.09226	-0.26864	1.81942	0.802138	6.44669	-3.37454	-1.23684	0.497466	0.806989	-2.1387	2.19515	-0.609985	2.03187	0.379377	6.65331	-2.33168	1.45463	2.13208	1.20386	-2.0436	1.90221	-0.328452	2.04907	0.835689	6.36529	-2.9818	-0.623495	0.966115	0.320901	-2.10814	1.77407	-0.24117	2.25069	0.986685	6.84684	-2.74856	0.349077	1.14182	0.97935	-2.00354	2.09637	-0.011726	1.22485	1.03101	6.86009	-2.98886	0.600514	0.489323	0.325012	-1.49229	1.98418	-0.380029	0.114356	0.713129	6.83297	-2.65233	1.97844	-0.300468	-6.901381e+01	4.231325e+01	-2.670056e+01
500	1.3043	-1.55646	1.72109	-0.414459	0.912139	1.11079	6.3109	-3.81054	-0.229109	-0.897652	0.121997	0.0901242	0.124016	0.0693246	0.615045	0.0949398	0.0829588	0.0827617	0.448489	1.44982	0.0284725	0.745756	-1.94669	2.01508	-0.377351	1.19168	1.01044	6.53125	-3.69226	0.481453	1.03776	1.71433	-2.00521	1.75709	-0.642396	1.24573	0.743228	6.57729	-3.58228	0.974556	0.172686	0.738865	-1.93368	1.8333	-0.509686	2.09924	0.754597	6.74355	-3.41773	0.9575	1.69792	0.315043	-1.72052	2.13439	-0.439981	-0.107153	1.22419	6.62211	-3.58885	1.92062	-0.00896585	1.00064	-1.96773	1.99211	-0.386252	1.67605	0.708973	6.39076	-3.59424	1.18957	2.26814	0.404895	-1.99688	1.85041	-0.195357	1.175	0.919623	6.50048	-3.22881	1.40759	1.70672	0.229135	-2.09487	2.18858	-0.105442	0.591014	1.32652	6.87258	-3.14945	0.433067	0.152607	1.13659	-1.59953	1.60582	-0.323503	1.75266	0.572161	6.5587	-3.51274	0.685637	0.610313	0.596766	-1.98498	2.032	-0.290442	1.80353	0.702715	6.51368	-3.97367	-0.301415	0.380259	0.421389	-2.12653	1.82645	-0.12112	1.64272	1.24489	6.6289	-3.85671	0.518178	1.51577	0.491256	-2.03412	1.84865	-0.182442	1.89172	1.25739	6.84093	-3.50997	0.367163	1.12249	0.935311	-1.82603	1.83807	-0.227979	1.12193	0.781007	6.34622	-3.70409	1.16755	0.585706	0.71385	-1.62683	2.18605	-0.599797	0.312036	0.876253	6.58107	-3.9845	0.699973	-1.14111	-4.523135e+01	3.977623e+01	-5.455125e+00
600	1.87576	-2.21415	1.85603	-0.111678	1.13819	1.09462	6.89242	-3.58248	0.933855	1.20289	0.111779	0.0914806	0.0832603	0.0898299	0.557315	0.0638778	0.0994098	0.0874334	0.729232	1.29185	0.0346435	1.59547	-2.27496	2.08726	-0.0971066	0.929629	1.21808	6.67753	-3.46016	1.53891	1.23765	1.93975	-2.24334	1.83224	-0.394792	0.626015	0.768524	6.66661	-3.90247	1.68072	0.230022	1.58926	-2.26445	2.00509	-0.425002	1.64253	1.19935	6.77443	-3.6909	1.51382	1.96978	1.43386	-1.62005	2.22896	-0.384173	0.227241	1.25735	6.90559	-3.41026	1.37057	-0.115637	1.41997	-1.9835	2.09182	-0.00277422	1.0118	0.763473	6.65496	-3.40143	2.17165	1.70313	1.80559	-2.04397	1.96923	-0.052369	0.519951	1.08097	6.62891	-3.92544	2.17124	2.03269	1.89491	-1.74856	1.99058	-0.260989	0.50256	1.23818	6.8947	-3.54898	2.08277	0.942338	1.51289	-2.26351	2.21194	-0.132017	1.14035	1.20965	6.73777	-3.46075	0.897138	1.0634	1.92871	-2.0921	2.11144	-0.414216	1.69618	1.20729	6.89229	-3.42866	0.0262557	1.42322	1.56352	-2.22566	1.99212	-0.267527	0.805857	0.846319	5.92904	-3.63569	2.11305	1.63225	1.50687	-2.08261	1.69158	-0.760831	2.26314	1.35483	6.54487	-3.74841	-0.00282264	2.12478	2.14764	-2.20067	2.28455	-0.089262	0.292531	1.24474	6.44271	-3.51296	1.07034	0.827771	1.24869	-1.76015	2.02301	-0.111238	-0.237255	0.951187	6.8637	-3.33954	1.39511	-0.780329	-2.995933e+01	3.549480e+01	5.535466e+00
700	1.83846	-1.51772	1.90811	-0.12321	0.570418	1.02775	6.8909	-2.41216	1.76409	0.647499	0.216577	0.0407443	0.0633114	0.152864	0.378251	0.108832	0.178836	0.0988365	0.0976378	0.801556	0.0277791	2.18528	-2.06683	1.84835	-0.278584	0.86935	0.863777	6.72738	-2.76845	1.8816	2.00712	1.71828	-2.22061	1.68405	-0.0470103	0.976434	0.219004	6.43902	-2.73259	2.14338	1.34649	2.17503	-2.25652	1.72055	-0.614812	1.45806	0.967478	6.34473	-3.50653	1.77069	1.99617	1.17548	-1.71086	1.96334	-0.666348	0.00414316	1.20454	6.38743	-2.38393	1.58297	-0.445812	2.09707	-1.93555	1.52391	-0.188182	1.15678	0.781527	6.64147	-3.24699	1.91711	1.79876	1.30017	-2.06408	1.60191	-0.609254	1.51306	0.4033	6.19424	-1.86063	1.81882	1.72847	1.69642	-1.81992	1.99109	-0.488482	0.488737	0.829915	6.41536	-2.88166	1.71277	0.602491	2.18399	-2.07496	1.54977	-0.289598	1.67744	0.837899	6.69206	-2.68379	1.81093	2.14693	1.51706	-1.84594	2.29603	-0.698627	1.27014	0.661979	6.41587	-2.32551	1.92776	1.63734	2.02228	-1.80971	1.8408	-0.587765	1.97671	1.24743	6.89733	-2.44609	1.72983	1.8685	2.12789	-2.25216	1.82674	-0.192243	1.62705	0.928374	6.39287	-2.92048	1.86321	2.13168	1.91653	-2.24025	2.06692	-0.141511	0.0183358	1.01529	6.31121	-2.93149	1.91354	0.399565	1.42459	-1.87897	1.62393	-0.27764	0.442278	0.760189	6.4506	-2.33156	1.5372	-0.14789	-4.056932e+01	3.570395e+01	-4.865375e+00
800	1.77985	-1.68612	1.10864	-0.438371	0.388759	1.01551	6.90871	-2.5622	1.47824	1.31823	0.372436	0.166594	0.189171	0.143575	0.548658	0.089972	0.148249	0.0665427	0.112344	0.726789	0.0291609	2.01699	-2.01771	1.55777	-0.231293	1.33499	0.814215	6.82138	-2.92168	1.81797	1.17004	0.947452	-2.05738	2.02969	-0.260877	0.715106	0.53487	6.72151	-2.85207	1.94799	0.599195	0.965114	-2.28919	1.43798	-0.223832	1.66646	0.636177	6.65185	-3.11557	1.83375	1.73806	1.69936	-1.47619	1.42213	-0.359681	0.0585623	0.188753	5.88604	-3.34251	1.82171	-0.430836	1.82073	-2.14498	1.11818	-0.100705	1.47845	0.889773	6.77824	-3.03744	1.39301	1.73568	1.1885	-1.73192	0.900922	-0.289271	1.42175	0.891753	6.76455	-2.70468	1.29412	0.984196	1.97093	-1.99963	2.12678	-0.165721	0.067735	0.815683	6.46991	-3.40156	1.62756	0.306561	1.29225	-1.99017	1.17159	-0.721	1.8182	1.32479	6.84657	-2.78698	1.66073	2.03869	2.09973	-1.21247	1.34449	-0.721462	2.00537	0.454529	6.69058	-3.16457	1.68327	1.93281	1.00159	-1.90532	1.0161	-0.345132	1.81878	1.2941	6.72976	-3.16872	1.50994	1.70488	2.07972	-1.96968	1.65116	-0.4858	2.21148	0.861156	6.68109	-2.72296	1.3891	1.46857	2.13601	-2.09755	2.26905	-0.243068	0.226401	1.34954	6.65284	-3.52123	2.24797	1.4038	1.75774	-0.979657	1.64818	-0.663378	0.176544	0.633706	6.80425	-2.95591	2.25541	-0.0171305	-5.679131e+01	5.555817e+01	-1.233142e+00
900	2.08109	-1.75842	1.61522	-0.628995	1.27668	0.914826	6.30029	-3.46935	2.17039	0.980068	0.0659625	0.321488	0.0978416	0.140484	0.459182	0.138132	0.156157	0.113517	0.122019	0.96533	0.031818	2.09146	-1.89946	1.83116	-0.843796	1.33548	0.93089	6.31272	-3.37086	1.68185	1.77547	2.06555	-2.21068	1.80369	-0.661888	1.24198	0.723019	6.61722	-3.65893	1.72054	0.853392	2.14523	-1.67178	1.45488	-0.821962	2.08952	0.322604	6.07904	-3.74515	1.60371	2.07017	1.8721	-1.80263	1.66308	-1.14181	0.180029	1.20573	5.84385	-3.37623	1.77986	-0.0369886	2.06549	-1.6894	1.7405	-0.78456	1.5485	1.12421	6.7816	-3.23044	2.21713	2.12857	1.66575	-1.83271	1.92986	-0.494741	1.04994	0.887347	6.19911	-3.65957	1.14962	1.07552	1.97622	-2.0023	1.60593	-0.683746	0.199478	0.976444	6.03742	-3.53656	1.75003	0.244154	1.80882	-1.41721	1.70277	-0.7633	1.92542	0.923803	6.82804	-3.295	1.91129	1.82392	2.0487	-1.49609	2.11734	-0.328681	1.39805	0.278378	6.61757	-3.12397	1.92677	1.3381	1.91055	-1.61799	1.29306	-1.00569	1.60741	1.44577	6.29917	-3.77633	1.93493	1.75703	1.65875	-1.88547	1.29646	-0.913996	2.05241	1.31564	6.20051	-3.81206	1.36632	2.22902	2.13184	-2.08283	2.26812	-0.73123	-0.00434086	1.45658	6.36071	-3.13012	2.19285	0.425112	1.66283	-1.21198	1.43149	-0.804072	0.139695	0.675262	6.45906	-2.79416	2.25903	-0.161658	-5.145418e+01	4.681427e+01	-4.639911e+00
