iter	M_lnPC_duod(1)	M_lnFu_duod(1)	M_lnFu_colon(1)	M_lnV_central(1)	M_lnVmax_vitro(1)	M_lnKm_vitro(1)	M_lnKc2p(1)	V_lnPC_duod(1)	V_lnFu_duod(1)	V_lnFu_colon(1)	V_lnV_central(1)	V_lnVmax_vitro(1)	V_lnKm_vitro(1)	V_lnKc2p(1)	Ve_lnC_central(1)	lnPC_duod(1.1)	lnFu_duod(1.1)	lnFu_colon(1.1)	lnV_central(1.1)	lnVmax_vitro(1.1)	lnKm_vitro(1.1)	lnKc2p(1.1)	lnPC_duod(1.1.1)	lnFu_duod(1.1.1)	lnFu_colon(1.1.1)	lnV_central(1.1.1)	lnVmax_vitro(1.1.1)	lnKm_vitro(1.1.1)	lnKc2p(1.1.1)	lnPC_duod(1.1.2)	lnFu_duod(1.1.2)	lnFu_colon(1.1.2)	lnV_central(1.1.2)	lnVmax_vitro(1.1.2)	lnKm_vitro(1.1.2)	lnKc2p(1.1.2)	lnPC_duod(1.1.3)	lnFu_duod(1.1.3)	lnFu_colon(1.1.3)	lnV_central(1.1.3)	lnVmax_vitro(1.1.3)	lnKm_vitro(1.1.3)	lnKc2p(1.1.3)	lnPC_duod(1.1.4)	lnFu_duod(1.1.4)	lnFu_colon(1.1.4)	lnV_central(1.1.4)	lnVmax_vitro(1.1.4)	lnKm_vitro(1.1.4)	lnKc2p(1.1.4)	lnPC_duod(1.1.5)	lnFu_duod(1.1.5)	lnFu_colon(1.1.5)	lnV_central(1.1.5)	lnVmax_vitro(1.1.5)	lnKm_vitro(1.1.5)	lnKc2p(1.1.5)	lnPC_duod(1.1.6)	lnFu_duod(1.1.6)	lnFu_colon(1.1.6)	lnV_central(1.1.6)	lnVmax_vitro(1.1.6)	lnKm_vitro(1.1.6)	lnKc2p(1.1.6)	lnPC_duod(1.2)	lnFu_duod(1.2)	lnFu_colon(1.2)	lnV_central(1.2)	lnVmax_vitro(1.2)	lnKm_vitro(1.2)	lnKc2p(1.2)	lnPC_duod(1.2.1)	lnFu_duod(1.2.1)	lnFu_colon(1.2.1)	lnV_central(1.2.1)	lnVmax_vitro(1.2.1)	lnKm_vitro(1.2.1)	lnKc2p(1.2.1)	lnPC_duod(1.2.2)	lnFu_duod(1.2.2)	lnFu_colon(1.2.2)	lnV_central(1.2.2)	lnVmax_vitro(1.2.2)	lnKm_vitro(1.2.2)	lnKc2p(1.2.2)	lnPC_duod(1.2.3)	lnFu_duod(1.2.3)	lnFu_colon(1.2.3)	lnV_central(1.2.3)	lnVmax_vitro(1.2.3)	lnKm_vitro(1.2.3)	lnKc2p(1.2.3)	lnPC_duod(1.2.4)	lnFu_duod(1.2.4)	lnFu_colon(1.2.4)	lnV_central(1.2.4)	lnVmax_vitro(1.2.4)	lnKm_vitro(1.2.4)	lnKc2p(1.2.4)	lnPC_duod(1.2.5)	lnFu_duod(1.2.5)	lnFu_colon(1.2.5)	lnV_central(1.2.5)	lnVmax_vitro(1.2.5)	lnKm_vitro(1.2.5)	lnKc2p(1.2.5)	lnPC_duod(1.2.6)	lnFu_duod(1.2.6)	lnFu_colon(1.2.6)	lnV_central(1.2.6)	lnVmax_vitro(1.2.6)	lnKm_vitro(1.2.6)	lnKc2p(1.2.6)	LnPrior	LnData	LnPosterior
0	0.389605	-0.0435622	-0.750078	-0.0846134	0.906491	6.04295	-0.324624	0.263513	0.0705001	0.435153	0.163046	0.204769	0.459176	0.299819	0.104775	0.479718	-0.302728	-0.661583	-0.255926	1.66779	6.17365	0.293919	0.254549	-0.571605	-1.69339	-0.156153	1.90281	6.51374	0.701899	1.04635	-0.472925	-0.922403	-0.464198	0.980916	5.91885	0.410684	0.244745	-0.52181	-0.913289	-0.382628	1.79488	5.98146	-0.161828	0.687394	-0.0912785	-1.28096	-0.0202913	1.69048	6.62528	0.262178	1.04771	-0.37331	-0.75444	-0.403945	0.824741	6.41683	0.943261	0.587529	-0.322366	-0.842448	-0.281456	1.62435	5.90101	1.28264	0.823117	-0.0729742	-1.07817	-0.0848345	0.878288	6.41299	0.51092	1.15521	-0.0769974	-0.563861	-0.372109	0.579333	5.69933	1.28142	0.602341	-0.233535	-1.43014	-1.30319	1.01104	6.3353	0.775726	0.952313	-0.0239325	-1.09143	-0.266226	1.23132	6.53861	1.11384	0.138631	-0.0931885	-0.671404	-0.18293	1.05125	6.5688	0.868097	1.45495	-0.325286	-1.67795	-0.812366	0.424953	6.54443	0.761003	0.634865	-0.22194	-1.3367	-0.647459	1.03872	6.62598	0.789416	-3.096195e+01	-5.131238e+04	-5.134334e+04
100	0.868596	-0.462574	-1.15582	-0.419425	0.698553	5.44682	0.437192	0.0743931	0.118174	0.367792	0.201907	1.73902	0.104418	0.0626243	0.499586	1.00841	-1.22891	-1.48098	-0.208181	0.806296	5.58904	0.197231	1.128	-1.0181	-1.46761	-0.201419	0.59579	5.71692	0.247724	1.23568	-1.07365	-1.58285	-0.487798	0.16475	5.99867	-0.188449	1.01804	-1.36206	-1.73829	-0.0633286	-0.763594	5.36409	0.490981	1.43439	-1.37285	-1.88546	-0.186645	1.03631	5.42359	-0.000850259	1.53849	-1.05729	-0.886146	-0.274742	-0.169906	5.88695	0.375115	0.738098	-1.28388	-1.21296	-0.0370607	-0.796278	5.39568	0.11124	0.766052	-0.0574091	-0.770042	-0.089766	0.784225	5.78636	0.356588	1.00234	-0.116321	-1.14928	-0.100129	-0.195242	6.14256	0.595213	0.861256	-0.605147	-1.53921	-0.655914	-0.272461	6.28114	0.209446	0.666637	-0.246936	-1.99105	-0.356036	0.973195	5.72768	0.456275	0.925297	-0.209297	-0.848759	-0.346525	2.24677	5.55764	0.355328	0.651095	-0.241811	-1.19977	-0.587896	-0.433959	5.59029	0.251053	0.767052	-0.346252	-0.493195	-0.0559011	0.169949	5.83556	0.170957	-2.808650e+01	-1.083533e+04	-1.086342e+04
200	0.23533	-0.188217	-0.330534	-0.918627	-1.04767	6.00695	0.151193	0.121853	0.202219	0.190333	0.269593	0.281241	0.0303217	0.155069	0.499751	0.125087	-1.05235	-0.395667	-0.171156	-0.539726	6.29628	0.291436	0.415136	-1.78558	-0.594905	-0.445833	-0.464437	6.49588	0.302607	0.0791779	-1.75285	-0.0727775	-0.840432	-0.710782	6.49736	0.360731	0.157149	-1.93979	-0.534085	-0.149843	-1.09461	6.31569	-0.0165862	0.202008	-1.32991	-0.32575	-0.307201	-0.819846	6.04646	-0.102662	0.453716	-0.913726	-0.493806	-0.328418	-0.350627	6.25846	0.00937367	0.323608	-1.41281	-0.291214	-0.951207	0.0310772	6.40445	0.113476	0.409313	-0.670216	-0.83874	-0.842919	-0.55673	5.64948	0.16915	0.631778	-1.40992	-1.52459	-0.943728	0.451907	5.69257	-0.316811	0.758361	-0.0430105	-1.61178	-0.212024	-0.353121	5.94031	-0.0262538	0.0618355	-0.464542	-1.25482	-1.41787	-0.552296	5.71889	-0.180187	0.622292	-0.631928	-0.873437	-0.944947	-1.17925	5.61554	0.369909	0.366195	-1.18374	-0.340628	-1.5166	-1.58194	5.62085	-0.549682	0.328078	-1.83083	-0.944232	-1.70022	-2.1176	5.60271	0.597369	-4.127556e+01	-1.083180e+04	-1.087308e+04
300	0.30708	-0.348986	-1.47247	-1.97642	-0.907895	5.44077	1.43236	0.383269	0.08046	0.0550963	0.460313	0.145664	0.210416	0.16642	0.499948	0.793212	-0.383055	-1.25283	-1.89995	-1.7426	6.26615	1.51952	1.36524	-0.21792	-1.36639	-2.0414	-2.04638	5.64308	0.265048	1.05352	-0.00478302	-1.18355	-0.443984	-2.06033	6.3032	1.54271	1.50575	-0.850018	-1.06268	-1.63332	-1.28203	5.74532	1.47021	1.17382	-0.169457	-0.970056	-1.9738	-2.17492	6.39008	1.54615	0.87306	-0.595542	-1.24804	-2.21223	-0.895147	5.89586	0.894987	0.46006	-0.734518	-1.36006	-2.08848	-1.8605	6.56139	1.599	0.134149	-0.498431	-1.26769	-2.13886	-1.13885	5.42141	1.28885	0.0546833	-0.356253	-1.71848	-1.42711	-1.29804	6.54969	1.15855	0.755984	-0.475509	-1.65604	-1.99685	-1.38355	5.3381	0.835254	0.158324	-0.228876	-1.20554	-0.931641	-1.04455	5.34232	1.56726	0.0889811	-0.823237	-1.60187	-1.26958	-0.714273	5.4649	1.37447	0.396134	-0.978014	-1.27102	-0.839006	-0.638143	5.52782	0.956001	1.30593	-0.517947	-1.28271	-1.99499	-1.26948	5.31236	1.46345	-3.036042e+01	-1.082757e+04	-1.085794e+04
400	0.00618388	-1.27483	-0.19825	-0.963025	-1.30884	6.03872	1.3821	0.0649731	0.146351	0.067358	0.157054	0.316957	0.126006	0.145741	0.499964	0.136326	-1.50812	-0.238392	-1.23301	-1.05121	6.13034	1.57572	0.21737	-1.73645	-0.539686	-1.67972	-1.0528	6.01325	1.2072	0.33258	-1.70135	-0.213416	-1.37746	-1.47787	5.80327	1.09637	0.178854	-1.80675	-0.0299771	-1.17654	-0.27907	6.38424	1.32647	0.0710054	-2.13879	-0.269471	-1.51001	-0.348666	5.77627	1.08549	0.503631	-1.1682	-0.730056	-1.39399	-1.50406	6.48013	1.35727	0.257653	-1.13719	-0.230771	-1.3008	-0.334599	5.75818	1.1969	0.247771	-1.43108	-0.201152	-0.947352	-1.48066	5.93578	1.22113	0.467382	-1.7072	-0.460891	-0.531918	-1.46086	6.1265	0.930354	0.453247	-1.43121	-0.346022	-0.71751	-1.96566	5.55063	0.792966	0.465709	-0.986413	-0.680802	-0.965165	-2.26005	5.98347	1.2712	0.398584	-0.911889	-0.255095	-0.976031	-1.62404	6.3384	0.437451	0.410141	-1.45139	-0.175868	-0.891868	-0.950563	6.08268	1.12725	0.52524	-1.46256	-0.152612	-0.94129	-1.20934	5.80651	1.24818	-5.152838e+00	-1.082724e+04	-1.083240e+04
500	0.160389	-2.23183	-0.805037	-0.315243	-1.75906	6.10778	0.0652058	0.108472	0.0878481	0.282024	0.106084	0.146618	0.149306	0.234838	0.499991	0.104836	-2.26188	-0.834113	-0.767781	-1.9513	5.65264	0.193226	0.512017	-2.3362	-0.965334	-1.01202	-2.03596	6.01301	0.477972	0.198992	-2.27616	-0.620213	-0.518139	-1.4757	5.94406	-0.399845	0.228803	-2.52008	-0.594885	-1.14757	-1.69736	5.4278	0.106867	0.126284	-1.82562	-0.588317	-0.114235	-1.56913	6.21791	1.05078	0.21941	-2.2459	-1.45063	-1.30051	-2.0335	5.85308	0.0888156	0.36679	-2.62759	-0.626403	-1.05866	-2.13639	5.42481	1.14314	0.225239	-2.60848	-0.608798	-0.334193	-1.90586	6.06423	0.149141	0.069844	-2.74881	-0.589108	-0.378068	-1.05526	5.59346	0.828901	0.145429	-2.84711	-0.678418	-0.339297	-1.44013	6.12919	-0.558272	0.125022	-2.5728	-1.38673	-0.163562	-2.04071	5.3904	-0.0510782	0.304391	-2.68869	-0.560971	-0.503213	-2.15771	5.67857	-0.0818486	0.197883	-2.50057	-0.545505	-0.3017	-1.42492	5.86909	0.0904744	0.201484	-2.56272	-0.83383	-0.340565	-2.08836	5.59132	0.298202	-1.500737e+01	-1.082665e+04	-1.084166e+04
600	0.910308	-2.33179	-0.109758	-0.436395	-2.00446	6.09315	-0.206799	0.0960514	0.188904	0.0805087	0.0840727	0.116468	0.0855808	0.346438	0.499972	1.0704	-2.05936	-0.00204184	-0.104025	-1.20063	5.75268	0.742282	1.03922	-2.12263	-0.00984767	-0.21501	-1.75846	5.43213	-0.371112	0.546947	-1.32286	-0.416499	-0.126716	-0.9934	5.36713	1.59414	1.37637	-1.92097	-0.141078	-0.271014	-0.889629	6.15997	0.799907	1.11216	-1.94893	-0.394041	-0.274826	-1.58197	5.97338	1.02269	0.804349	-1.39271	-0.0881065	-0.604948	-1.6424	6.09165	1.03614	1.0081	-1.95747	-0.172607	-0.133806	-1.49297	5.54714	0.446076	0.615862	-2.65587	-0.0503634	-0.324807	-2.29141	5.89553	-0.48369	0.56632	-2.31421	-0.0954329	-0.073425	-2.03509	5.87802	-0.567639	0.419022	-3.0605	-0.133055	-0.115694	-2.23507	5.52447	0.30731	0.711437	-2.11144	-0.725585	-0.801851	-2.29082	5.44038	-0.443512	0.612612	-2.88767	-0.0556789	-0.741697	-2.23167	5.55803	-0.356163	0.128427	-2.64149	-0.1178	-0.306919	-2.28064	6.02049	-0.0486919	1.40266	-2.63671	-0.380684	-0.240924	-2.04746	6.09419	0.309793	-1.058046e+01	-1.082706e+04	-1.083764e+04
700	0.545937	-2.54323	-0.210269	-0.674444	-2.17672	6.56124	0.683239	0.116716	0.115852	0.160283	0.0815536	0.108099	0.114073	0.119267	0.499993	0.61959	-2.23111	-0.321378	-0.032089	-2.03927	6.43261	0.293213	0.423532	-2.13682	-0.407712	-0.341911	-1.61742	6.09642	-0.0392004	0.703727	-2.45342	-0.0502445	-0.314829	-2.22688	6.04212	0.313639	0.743227	-2.48254	-0.652469	-0.216121	-1.97851	6.55452	0.284539	0.163021	-1.95898	-0.373039	-0.615687	-1.94857	5.92968	0.251662	0.81398	-2.06389	-0.854727	-0.612355	-2.06548	6.46518	-0.112456	0.965164	-2.29205	-0.526509	-0.169568	-1.74116	5.99371	0.252736	0.552147	-2.86484	-0.303343	-0.60982	-1.68212	6.37067	1.12784	0.673839	-2.60617	-0.203419	-0.31578	-2.17041	6.09574	1.20771	0.944226	-3.05363	-0.0223027	-0.331745	-1.49781	6.64422	1.11114	0.399926	-2.79065	-0.22352	-0.0288857	-1.80627	6.28574	0.9072	0.514529	-2.3426	-0.177331	-0.513324	-2.25774	6.47371	1.48568	0.138	-3.31639	-0.484052	-0.941238	-1.79351	6.28434	0.720921	0.791646	-2.90401	-0.850006	-0.721758	-0.827837	6.39401	0.892614	-5.849060e+00	-1.082661e+04	-1.083246e+04
800	0.118918	-4.05126	-0.596227	-0.434171	-1.37463	5.67945	-0.407452	0.0861058	0.149464	0.0768015	0.0820007	0.221407	0.202229	0.370999	0.499961	0.697331	-3.76773	-0.333526	-0.647439	-1.54311	5.48063	0.377298	0.262311	-3.25253	-0.33046	-0.504191	-1.81794	5.82421	0.440353	0.438078	-3.98704	-0.149561	-0.753427	-1.23403	5.40172	-0.1023	0.233546	-4.02748	-0.194851	-0.852889	-1.47868	5.5603	0.559227	0.60495	-3.36729	-0.238448	-0.813328	-1.19749	6.1084	0.72253	0.591803	-3.95611	-0.410055	-0.734406	-0.988539	5.37344	0.285918	0.932067	-4.04393	-0.42996	-1.46185	-1.79918	5.73328	0.805054	0.135581	-3.54118	-1.08927	-0.647294	-1.42783	5.44713	0.784559	0.386929	-3.57096	-0.625286	-0.561276	-1.90525	5.80451	1.12996	0.0954749	-3.47888	-1.19763	-0.363991	-0.555488	6.28225	1.20678	0.441817	-3.83054	-1.21138	-0.949554	-0.776292	5.64351	0.397134	0.0683698	-3.26751	-1.29301	-0.858209	-1.43351	5.44744	0.739419	0.0325735	-3.97289	-1.03532	-0.235612	-1.78841	5.84007	0.727515	0.282651	-3.5456	-1.72248	-0.185487	-1.14056	6.26742	0.846643	-2.461171e+01	-1.082731e+04	-1.085192e+04
900	1.03208	-2.39211	-0.233335	-1.59909	-1.60801	5.90888	0.291672	0.105503	0.552699	0.0884769	0.102075	0.137568	0.54359	0.182008	0.499984	0.842507	-4.10335	-0.819532	-0.718075	-1.83413	6.28526	0.66912	1.24742	-3.93299	-1.03819	-0.684013	-1.4761	5.62266	0.796684	0.926942	-3.7341	-0.164409	-0.508369	-1.2882	6.20442	0.52937	0.853692	-3.03586	-1.15176	-0.45369	-1.41701	6.26409	0.709601	1.09208	-3.71142	-0.718059	-0.728679	-2.12827	5.82907	1.30726	0.781507	-5.2394	-1.23344	-0.861847	-1.74856	5.74948	0.752713	1.07763	-2.72072	-0.697368	-0.481922	-1.61737	6.37416	1.22359	1.20748	-2.91897	-0.13998	-1.30604	-1.56957	5.45914	0.294234	0.545694	-3.4391	-0.488311	-1.49849	-1.86798	5.98566	0.406842	1.29208	-3.79873	-0.353931	-1.43509	-1.77668	5.96849	0.83652	0.841765	-2.00245	-0.0169521	-1.3075	-1.61284	6.1615	0.834238	0.90204	-3.84945	-0.438275	-1.49455	-1.58741	6.37304	0.797743	1.51292	-4.45233	-0.404934	-1.4418	-1.53763	5.76081	0.205573	1.16476	-3.59557	-0.121306	-1.34306	-1.46464	5.69933	0.925046	-4.178995e+01	-1.082680e+04	-1.086859e+04
