iter	M_lnPC_duod(1)	M_lnFu_duod(1)	M_lnFu_colon(1)	M_lnV_central(1)	M_lnVmax_vitro(1)	M_lnKm_vitro(1)	M_lnKc2p(1)	V_lnPC_duod(1)	V_lnFu_duod(1)	V_lnFu_colon(1)	V_lnV_central(1)	V_lnVmax_vitro(1)	V_lnKm_vitro(1)	V_lnKc2p(1)	Ve_lnC_central(1)	lnPC_duod(1.1)	lnFu_duod(1.1)	lnFu_colon(1.1)	lnV_central(1.1)	lnVmax_vitro(1.1)	lnKm_vitro(1.1)	lnKc2p(1.1)	lnPC_duod(1.1.1)	lnFu_duod(1.1.1)	lnFu_colon(1.1.1)	lnV_central(1.1.1)	lnVmax_vitro(1.1.1)	lnKm_vitro(1.1.1)	lnKc2p(1.1.1)	lnPC_duod(1.1.2)	lnFu_duod(1.1.2)	lnFu_colon(1.1.2)	lnV_central(1.1.2)	lnVmax_vitro(1.1.2)	lnKm_vitro(1.1.2)	lnKc2p(1.1.2)	lnPC_duod(1.1.3)	lnFu_duod(1.1.3)	lnFu_colon(1.1.3)	lnV_central(1.1.3)	lnVmax_vitro(1.1.3)	lnKm_vitro(1.1.3)	lnKc2p(1.1.3)	lnPC_duod(1.1.4)	lnFu_duod(1.1.4)	lnFu_colon(1.1.4)	lnV_central(1.1.4)	lnVmax_vitro(1.1.4)	lnKm_vitro(1.1.4)	lnKc2p(1.1.4)	lnPC_duod(1.1.5)	lnFu_duod(1.1.5)	lnFu_colon(1.1.5)	lnV_central(1.1.5)	lnVmax_vitro(1.1.5)	lnKm_vitro(1.1.5)	lnKc2p(1.1.5)	lnPC_duod(1.1.6)	lnFu_duod(1.1.6)	lnFu_colon(1.1.6)	lnV_central(1.1.6)	lnVmax_vitro(1.1.6)	lnKm_vitro(1.1.6)	lnKc2p(1.1.6)	lnPC_duod(1.2)	lnFu_duod(1.2)	lnFu_colon(1.2)	lnV_central(1.2)	lnVmax_vitro(1.2)	lnKm_vitro(1.2)	lnKc2p(1.2)	lnPC_duod(1.2.1)	lnFu_duod(1.2.1)	lnFu_colon(1.2.1)	lnV_central(1.2.1)	lnVmax_vitro(1.2.1)	lnKm_vitro(1.2.1)	lnKc2p(1.2.1)	lnPC_duod(1.2.2)	lnFu_duod(1.2.2)	lnFu_colon(1.2.2)	lnV_central(1.2.2)	lnVmax_vitro(1.2.2)	lnKm_vitro(1.2.2)	lnKc2p(1.2.2)	lnPC_duod(1.2.3)	lnFu_duod(1.2.3)	lnFu_colon(1.2.3)	lnV_central(1.2.3)	lnVmax_vitro(1.2.3)	lnKm_vitro(1.2.3)	lnKc2p(1.2.3)	lnPC_duod(1.2.4)	lnFu_duod(1.2.4)	lnFu_colon(1.2.4)	lnV_central(1.2.4)	lnVmax_vitro(1.2.4)	lnKm_vitro(1.2.4)	lnKc2p(1.2.4)	lnPC_duod(1.2.5)	lnFu_duod(1.2.5)	lnFu_colon(1.2.5)	lnV_central(1.2.5)	lnVmax_vitro(1.2.5)	lnKm_vitro(1.2.5)	lnKc2p(1.2.5)	lnPC_duod(1.2.6)	lnFu_duod(1.2.6)	lnFu_colon(1.2.6)	lnV_central(1.2.6)	lnVmax_vitro(1.2.6)	lnKm_vitro(1.2.6)	lnKc2p(1.2.6)	LnPrior	LnData	LnPosterior
0	1.74534	-0.684561	-3.11825	-0.953007	-2.27856	5.76801	1.18431	0.395574	0.322449	0.0947091	0.0693477	0.790271	0.08512	0.161874	0.438956	2.10213	-0.72637	-2.89071	-0.733231	-2.27803	5.6065	0.932646	1.11659	-1.16321	-2.85975	-0.721669	-2.26944	5.89117	1.26117	1.79341	-1.87417	-2.99841	-0.158998	-1.74328	5.89907	0.238498	1.9415	-0.282794	-3.01767	-0.734973	-1.9819	5.32616	1.18152	1.70546	-0.773193	-2.95462	-0.889489	-0.652517	5.39672	0.56111	0.472945	-1.10905	-2.98889	-0.70746	-1.66814	5.48228	1.05057	1.73358	-1.39129	-2.67552	-1.39478	-1.3931	5.88336	1.29451	1.73949	-1.51872	-3.61743	-0.679215	-1.74164	6.16414	1.04203	1.3749	-2.89769	-3.55731	-0.32882	-1.03032	6.31292	0.968878	1.75155	-1.27445	-3.65921	-0.768141	-0.726812	6.43171	0.532157	1.22745	-0.503195	-3.0932	-0.891039	-1.54063	5.84126	0.85396	1.38321	-1.12834	-3.46528	-0.930748	-1.65268	6.48068	1.6096	0.992138	-1.42942	-4.2741	-0.634699	-1.55117	6.06776	1.51827	1.53681	-1.58225	-3.41117	-0.560816	-0.958839	6.31566	0.578975	-4.424178e+01	-1.231468e+04	-1.235893e+04
100	0.833529	-0.356755	-3.26548	-0.0610084	-1.73553	6.13963	1.15256	0.124303	0.189088	0.241749	0.19641	0.263458	0.118513	0.307384	0.498695	1.13783	-0.181418	-3.3279	-0.00670195	-0.977752	6.01455	0.500955	1.19208	-0.114042	-4.17868	-0.0427345	-1.00756	5.87789	0.653644	1.42081	-0.274779	-2.91628	-0.291156	-0.981402	6.14018	-0.678339	0.721647	-0.912313	-3.60381	-0.183498	-0.955627	5.58869	0.372893	1.01393	-0.0806622	-3.84854	-0.506464	0.457805	6.33932	1.33639	0.902549	-0.290163	-3.13732	-0.0947178	-0.797358	 6.48	0.610087	1.07873	-0.255749	-4.72944	-0.672355	-0.559878	5.92296	-0.171639	0.106848	-0.220752	-2.95233	-0.503671	-2.0268	5.9121	0.114376	0.466284	-0.7043	-3.29148	-0.22194	-1.84069	5.94129	-0.441251	0.548732	-0.543959	-3.04177	-0.205586	-2.10977	6.10305	-0.145255	0.342869	-1.34487	-3.29137	-0.622676	-2.12216	6.21544	0.145864	0.17144	-0.635049	-2.87369	-0.558688	-1.81491	6.50869	0.632452	0.222725	-0.484774	-2.68114	-0.150655	-1.56452	6.24197	-0.0388264	0.216846	-0.391922	-3.06726	-0.458639	-2.01571	5.97953	0.200326	-3.427959e+01	-1.085446e+04	-1.088874e+04
200	1.26426	-1.14266	-2.30393	-1.90671	-1.73802	5.4349	0.187789	0.0559552	0.105344	0.129597	1.56079	0.213278	0.0807235	0.048157	0.499784	1.38489	-0.726352	-2.64049	-0.349437	-1.55142	5.30663	0.107581	1.62777	-1.03973	-2.60505	-0.196727	-2.13829	5.58904	0.17535	1.4979	-1.00089	-2.20118	-0.839428	-1.33511	5.50868	0.318311	0.960086	-0.748968	-2.22289	-2.12507	-0.940848	5.62084	0.0792493	1.53274	-0.448092	-2.52437	-0.0370212	-1.90168	5.57408	-0.179277	1.50939	-0.286336	-2.35762	-0.490458	-1.97008	5.29202	0.108763	1.37796	-0.55997	-3.20387	-1.88851	-1.47344	5.46323	0.247769	0.860046	-0.897352	-2.52467	-0.120475	-0.776185	5.43513	0.238316	0.690835	-0.503028	-2.57692	-1.26495	-1.17371	5.61894	0.0054856	0.703285	-1.04306	-3.21158	-0.696264	-0.217561	5.6607	0.286074	0.910693	-1.48199	-2.93681	-0.038524	-0.828252	5.49078	0.125142	1.04875	-0.943528	-2.31882	-0.906564	-0.838791	5.77795	0.463488	0.949037	-0.67247	-2.56598	-1.08987	-0.560641	5.80702	-0.0156442	1.10728	-1.15727	-1.95715	-0.156313	-0.563962	5.58188	-0.00463126	-1.979353e+01	-1.083109e+04	-1.085089e+04
300	1.32385	-0.318829	-2.12476	-0.287926	0.0830326	5.36597	1.31537	0.393824	0.127794	0.357405	0.536017	0.0496812	0.102492	0.205548	0.499925	1.34863	-0.337761	-3.45091	-0.137885	0.165363	5.7563	0.553586	2.15632	-0.126945	-3.13786	-1.49214	0.176265	5.57953	0.726018	0.597514	-0.449531	-3.94047	-1.70998	-0.0456015	6.32019	0.457285	2.18378	-0.162187	-3.85238	-0.296082	-0.0240282	5.72031	-0.516047	2.07879	-0.594994	-2.91193	-1.09654	0.264322	5.78729	0.351314	1.17704	-0.612826	-3.33092	-1.45534	0.165728	6.42348	-0.00653714	1.14373	-0.206808	-2.62997	-0.425507	0.20242	5.79602	0.709434	1.07921	-0.869559	-2.30268	-1.55286	0.0349508	5.97608	1.42132	0.549752	-1.02412	-1.83825	-0.891951	0.231475	6.1973	1.53736	0.260547	-0.283072	-2.96644	-0.950931	-0.519812	6.36586	0.737287	0.365238	-1.08888	-1.47602	-0.199809	0.200426	6.45923	1.34248	1.20369	-1.03682	-2.34706	-1.99801	-0.102964	5.81611	1.51525	0.5321	-0.639838	-3.27911	-1.14946	-0.183381	5.62628	1.15088	0.984605	-0.792432	-2.34305	-1.38489	-0.129394	6.08653	1.0614	-5.122398e+01	-1.082806e+04	-1.087928e+04
400	1.55279	-0.825518	-2.78177	-0.0402915	0.637078	6.30338	1.44688	0.0452207	0.0988421	0.185339	0.235385	0.489482	0.199854	0.238885	0.499954	1.47378	-0.882735	-3.09224	-0.119929	0.033069	6.08804	1.49755	1.32296	-0.631334	-3.11919	-1.16584	0.486852	5.97708	1.00109	1.53539	-1.22113	-2.95201	-0.108026	0.417129	5.8311	1.4607	1.11439	-0.89834	-2.68286	-0.0388023	-0.854695	5.93058	1.25552	1.01564	-0.910378	-3.46702	-0.0250003	-0.00604431	6.23806	1.32629	1.42247	-0.834983	-2.63733	-0.402434	0.473996	5.6513	0.840517	1.67313	-1.0901	-3.85075	-0.814896	-0.704107	6.44744	1.19432	1.69125	-0.959109	-2.64907	-1.11134	0.466076	5.51786	0.989824	1.84779	-1.33789	-2.64404	-1.43397	0.216925	5.58567	1.40911	1.96862	-1.36982	-2.35014	-1.28026	0.427501	5.70514	1.51789	1.58239	-1.60987	-1.85335	-0.87412	0.609328	5.37295	1.06474	1.85511	-0.974831	-2.30389	-0.588826	0.298101	5.63276	1.49002	1.88202	-0.745465	-2.92001	-0.404139	0.754611	5.45071	0.369465	1.73558	-0.710765	-2.82663	-0.904356	-0.2783	6.17375	1.23482	-3.184288e+01	-1.082745e+04	-1.085929e+04
500	0.603618	-0.991957	-3.02409	-1.21666	-0.303603	5.39435	0.995901	0.358466	0.128739	0.263235	0.0787744	0.352905	0.130165	0.189733	0.499932	0.621874	-1.14342	-3.41757	-1.17509	-0.102173	6.14908	0.783278	1.41467	-0.899228	-2.78265	-1.54925	-0.27854	5.45873	0.0141158	1.26434	-0.940071	-3.53605	-1.12433	0.86614	6.0713	0.675619	0.205159	-1.55169	-2.26551	-1.47779	-0.133665	6.35951	1.35527	0.497778	-1.17653	-4.17705	-1.4219	0.400408	6.66376	0.391339	0.825314	-0.0541384	-2.85634	-1.33704	-0.474347	6.63662	0.192882	0.348818	-1.47527	-3.7424	-1.17912	-0.658279	6.04518	0.984276	1.19742	-1.80103	-2.86085	-1.10187	-0.612016	5.61697	1.25966	0.567507	-2.26869	-2.90406	-1.25832	-0.827523	5.73593	0.662685	2.08549	-2.39662	-3.19049	-1.39661	0.5533	5.6119	1.22557	1.33436	-1.62266	-2.69161	-0.91735	-0.370416	5.36212	1.28036	1.70389	-1.77383	-2.34436	-1.00314	-1.09419	5.35372	1.07087	1.49124	-1.46629	-2.11734	-1.17697	-0.873881	5.98066	1.19743	0.517866	-1.80361	-2.24113	-0.928731	0.301071	5.85939	1.01516	-5.084759e+01	-1.082792e+04	-1.087876e+04
600	0.262321	-0.648642	-3.75196	-1.35547	0.215807	6.4014	0.525628	0.147564	1.44162	0.113626	0.201752	0.449402	0.143341	0.0644255	0.49998	1.5176	-2.48186	-3.23494	-1.44709	-0.461736	6.46077	0.436358	1.79193	-2.94125	-3.67964	-1.62413	0.00907388	6.44724	0.299658	1.79649	-3.20714	-3.68368	-0.917406	-0.00672431	6.42711	0.538118	1.19823	-2.78105	-2.75726	-1.19767	-0.428201	6.43548	0.720862	1.1986	-4.27897	-3.43677	-2.25561	-0.823099	6.54489	0.418253	1.27007	-2.65511	-3.24543	-0.841178	-0.213289	6.63291	0.145063	1.07833	-1.96959	-3.31642	-0.988812	0.360318	6.34818	0.0205496	0.00808756	-1.10762	-3.77441	-1.69402	-0.0101393	6.57767	0.398943	0.791182	-0.790604	-3.73021	-1.8892	0.611186	6.27002	0.0642956	0.288854	-1.84473	-4.03984	-1.76147	-0.713533	6.31539	0.445614	0.467658	-1.66097	-3.30444	-1.08432	1.03142	6.13775	0.436878	0.622026	-1.57799	-3.31673	-1.73089	-0.0399252	6.52069	0.420936	0.519639	-0.787373	-3.50655	-2.28887	0.276126	6.59329	0.489005	0.0189754	-1.0976	-3.2954	-1.63603	-0.147901	6.4766	0.768262	-4.746586e+01	-1.082689e+04	-1.087436e+04
700	2.1034	-2.27846	-2.81828	-1.9229	-0.248397	6.62832	0.827617	1.72279	0.378541	0.111902	0.0458873	0.173154	0.339442	0.45509	0.499938	0.652974	-2.90736	-2.77135	-2.2305	-0.0936727	6.63122	1.12898	1.60207	-3.06467	-2.34119	-2.01048	0.461582	5.79649	0.933656	2.0371	-3.44701	-3.15903	-1.8829	-0.889619	6.23106	0.445054	1.6426	-2.62538	-2.53357	-2.22029	-0.223046	5.44912	0.896761	0.630366	-2.02284	-2.42817	-1.90252	0.719979	6.35204	1.47001	0.497708	-2.95275	-2.86024	-2.07573	0.655959	6.42179	1.22361	1.00368	-2.3597	-2.21079	-2.10864	-0.532635	6.60308	1.21702	0.959733	-2.02625	-2.74765	-2.23829	0.353641	6.54557	-0.0709543	0.702466	-2.52537	-3.0599	-2.18692	0.677655	6.1818	-0.0805979	2.14915	-1.88891	-2.57059	-2.15303	-0.221059	5.83183	0.23309	2.02368	-2.79799	-2.62398	-2.16434	0.120577	5.96273	-0.187948	1.56311	-1.85543	-2.91175	-2.18281	1.10135	5.91372	-0.173173	1.32992	-0.779477	-2.66615	-2.18845	-0.00320452	6.01332	0.180671	0.604004	-3.26738	-2.96749	-2.08782	1.27428	5.30164	0.912883	-5.631403e+01	-1.082779e+04	-1.088411e+04
800	1.56669	-3.034	-1.85289	-2.0207	2.24404	5.51201	0.868936	0.137818	0.0697987	0.343898	0.142428	0.422085	0.0593693	0.320198	0.499987	1.32681	-2.72101	-1.97668	-1.97625	1.53305	5.37844	0.942601	1.4069	-2.61846	-1.13168	-1.45642	2.12524	5.46827	1.41834	1.42562	-2.95091	-2.30994	-2.1209	2.11599	5.47543	0.639475	1.26978	-2.25077	-1.35999	-1.8636	1.16477	5.49147	0.53163	1.57788	-2.84016	-2.15451	-1.86326	0.173228	5.40679	-0.0404205	1.46049	-2.54022	-1.86436	-1.64706	1.72986	5.37666	1.22697	1.27232	-2.75726	-2.36327	-1.69484	1.00607	5.84596	0.0805681	1.39785	-3.30414	-1.95051	-1.9643	1.23579	5.61377	1.1188	1.10668	-2.79095	-0.958606	-1.75956	1.66999	5.62799	1.01803	1.7098	-3.08605	-1.58955	-1.18431	1.24919	5.736	1.42833	1.43393	-3.56647	-3.15039	-1.29669	1.61931	5.6018	1.16034	1.63232	-3.29277	-2.33273	-1.92866	1.68124	5.68233	0.0160489	1.36937	-3.23278	-1.87898	-2.26829	1.29696	5.54019	1.58899	1.38455	-3.25212	-2.47129	-2.21255	0.800699	5.43387	0.57771	-2.956250e+01	-1.082673e+04	-1.085629e+04
900	1.73288	-3.81426	-2.12998	-2.17174	2.20414	5.82931	0.106233	0.105348	0.174082	0.195359	0.0462615	0.255839	0.429494	0.113215	0.499999	1.52382	-3.76707	-1.08696	-1.88001	1.68504	6.0131	-0.0889023	1.84128	-2.96757	-1.54011	-1.97068	1.08944	5.92074	-0.0440428	2.02324	-3.25801	-0.576792	-1.78468	 2.14	6.29589	-0.123154	1.56141	-3.86899	-1.52344	-1.9706	1.79636	5.30962	0.0690495	0.935119	-4.57643	-2.04283	-1.79128	1.85431	5.37237	0.296353	1.70462	-3.35312	-1.46548	-2.16377	1.78827	5.32782	0.356632	1.39473	-4.44346	-0.845272	-1.75118	1.5353	5.73216	0.0451503	1.60139	-3.47027	-2.18606	-1.95403	1.89675	5.38562	0.327668	1.66668	-3.09302	-1.85076	-1.92822	2.09962	5.77628	0.358284	2.13658	-3.31053	-1.67191	-1.71982	2.26975	5.58713	1.0983	1.37506	-3.50821	-1.96531	-1.97045	1.36325	5.61468	0.0436938	1.48769	-3.56093	-2.16729	-1.7948	1.03835	5.72257	0.457401	1.33412	-3.76773	-3.06649	-1.92135	1.73628	5.36395	0.333967	1.92499	-3.62695	-2.15595	-2.15053	1.7628	5.36749	-0.00361411	-2.917302e+01	-1.082648e+04	-1.085566e+04
